层级,相对L2条件差异,平均绝对差峰值,差异峰值时间(ms),镜像交换残差
V1,0.43602433800697327,0.009268036112189293,257.0,0.34973520040512085
IT,0.13416527211666107,0.0057599726133048534,287.0,2.0250055854376114e-07
PFC,0.028179921209812164,0.009338989853858948,201.0,1.0529455352070727e-07
