电极,tau_s_ms,g_i,tau_a_ms,左右共享增益,优化收敛,函数评估次数,唯一参数点数
F3,99.4344551317253,0.5747829593160252,80.0,-33.56008930787478,False,201,165
Fz,76.35864724376884,0.6379985612625525,80.0,-50.313907881944,False,117,117
F4,81.8694193599887,0.6226813605202705,80.0,-49.35794960153888,False,159,123
