Condition,Channel,N_ClippedOnly,N_CurrentSQI,RMSE_Current_vs_ClippedOnly,RMSE_Current_vs_RandomSameN,CurrentOutsideRandom95Ratio
左条件,F3,42,29,10.491771307886019,10.531654987893441,0.22982885085574573
左条件,Fz,42,29,3.70371368237936,3.7180636524895334,0.17114914425427874
左条件,F4,42,29,13.020612593807016,13.099173016563302,0.24205378973105135
右条件,F3,41,25,12.537299314581634,13.215151482170203,0.0
右条件,Fz,41,25,3.7886124258847627,3.753622534742439,0.10024449877750612
右条件,F4,41,25,5.001968886374198,4.480147211977172,0.0
