层级,相对L2条件差异,平均绝对差峰值,差异峰值时间(ms),镜像交换残差
V1,0.5686349868774414,0.02303842082619667,50.0,
IT,0.2953989505767822,0.010936894454061985,119.0,
PFC,0.03353672847151756,0.016548771411180496,157.0,
