条件,V1峰值,V1峰值时间(ms),IT峰值,IT峰值时间(ms),PFC峰值,PFC峰值时间(ms),PFC最大左右差,PFC最大左右差时间(ms)
左提示,0.10236349701881409,267.0,0.11932332068681717,333.0,0.4148678779602051,463.0,0.02120007574558258,219.0
右提示,0.10236351937055588,267.0,0.11932332068681717,333.0,0.4148678779602051,463.0,-0.02120007574558258,219.0
