sample,stage,outer_held_out_record,inner_held_out_record,candidate,source,candidate_order,threshold,native_threshold,balanced_accuracy
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.55,0.5,0.4976873265494912
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.4,0.5,0.5025439407955596
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.6,0.5,0.4775670675300647
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.35,0.5,0.5233580018501388
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,1,0.65,0.5,0.48889916743755785
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.5,0.5,0.44841269841269843
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.45,0.5,0.3994708994708994
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.55,0.5,0.4722222222222222
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.4,0.5,0.46164021164021163
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.6,0.5,0.5066137566137566
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.35,0.5,0.4378306878306878
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.65,0.5,0.49867724867724866
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.5,0.5,0.45777591973244147
