record,task,condition,n_trials,real_rms,rmse,nrmse,skill_vs_zero,F3_correlation,Fz_correlation,F4_correlation
VisualCogA_Task-1,Task1,left,29,19.114498974217586,51.12844701587795,2.674851539914391,-6.154830760582388,-0.882098870138809,0.6344025303421033,-0.8219795366270363
VisualCogA_Task-1,Task1,right,25,6.316433042820174,36.61650103113429,5.797021955731155,-32.60546355522906,-0.6494899991787804,0.30509579972263556,0.10280144407329264
VisualCogA_Task-2,Task1,left,45,64.90673972832619,54.04704494353712,0.8326877173273001,0.30663116541225044,0.984417013897015,0.9124517009767308,0.8208956761328494
VisualCogA_Task-2,Task1,right,35,66.22572824910155,55.09556418418859,0.8319359505863348,0.30788257412201137,0.8643473388020569,0.917639089503764,0.9692246011312496
VisualCogB_Task-1,Task2,left,41,20.455786923641003,13.950509451343153,0.6819835141722355,0.5348984863972883,0.9068690775442854,0.7668495270075336,0.8334298938811967
VisualCogB_Task-1,Task2,right,42,12.946064423464996,23.43718408219634,1.8103713465009477,-2.277444412231654,0.6300021871542519,0.7938522857120724,0.754960203534305
VisualCogB_Task-2,Task2,left,37,29.34707679623457,31.92914706593462,1.0879838999852738,-0.1837089666271663,0.06860738026277412,0.8816079739359913,0.618517958307786
VisualCogB_Task-2,Task2,right,43,60.16507929117003,41.84092271186817,0.6954353456326092,0.5163696800448534,0.7962845160107065,0.8981241517392254,0.9537185952502193
