record,feature,n_left_trials,n_right_trials,measured_right_minus_left,trial_bootstrap_95ci_low,trial_bootstrap_95ci_high,crossfit_model_right_minus_left,evidence_role
VisualCogA_Task-1,W1_100_250_F3,29,25,6.97360713488599,-9.087863562930579,25.294967211045666,4.078290354420291,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-1,W1_100_250_Fz,29,25,-5.174313348155481,-10.073980453263344,-0.1394892609948631,8.575763542629671,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-1,W1_100_250_F4,29,25,22.14912843670984,2.4093825917722844,44.23544836787572,7.487200806054677,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-1,W2_250_500_F3,29,25,16.462443737313954,-9.211226463382165,45.33221567688957,0.7107021664563344,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-1,W2_250_500_Fz,29,25,-2.6130045344038644,-7.050940287315285,2.076084518466758,7.818937903931381,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-1,W2_250_500_F4,29,25,31.788515413967705,3.6544093480261863,64.32758691702186,9.834133564783777,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-1,W3_500_800_F3,29,25,16.98464016169202,-19.197132374624726,55.032013592396936,-1.2395005108635289,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-1,W3_500_800_Fz,29,25,-5.114636317353284,-11.685148450297529,2.3570557231000806,1.744924819630043,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-1,W3_500_800_F4,29,25,36.23592931235458,-3.238039763745419,73.75342107424963,3.592809771294206,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W1_100_250_F3,45,35,16.48617081070459,-16.227820840085787,51.88395032277715,2.5114028811239075,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W1_100_250_Fz,45,35,6.423205707279788,-9.594206025290852,23.823449092536443,4.8325128058401745,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W1_100_250_F4,45,35,3.7061309599142476,-20.410294268484574,30.157101785013715,4.005839323673516,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W2_250_500_F3,45,35,18.658372012880914,-27.95215814433938,68.93636728925976,0.6868439444947174,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W2_250_500_Fz,45,35,3.846627527452629,-18.369632145874224,27.9136815000318,4.485144474138344,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W2_250_500_F4,45,35,4.69907259507281,-32.25506140670225,43.85788934729936,5.3619344591602935,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W3_500_800_F3,45,35,10.565416911696062,-55.67702898499123,76.61198854785435,-1.0876845432678124,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W3_500_800_Fz,45,35,-5.771725715241061,-40.84081065898036,27.807574457075756,1.537175243177881,within-record exploratory; window/electrode fixed before inspection
