mapping,n_record_directions,mean_test_sensor_nrmse,mean_test_common_mode_nrmse,mean_test_condition_difference_nrmse,mean_test_condition_difference_correlation
legacy_fixed_G_train_scalar,8,1.0310152802910149,1.0058043357290345,1.183331376075705,-0.156958047493983
effective_ridge_alpha_0.1,8,0.9752208785669749,0.9937937342665809,0.9038353898650425,0.2035371172903753
effective_ridge_alpha_1,8,0.9983129066154606,0.9895337549659878,1.0121967062170865,0.06784379971028828
effective_ridge_alpha_10,8,1.02158512701549,0.9889711891087906,1.1548429331664885,-0.1369423595509021
train_ERP_persistence_baseline,8,0.8114124012188256,0.7919551484323357,1.102109330794927,0.23140031360389418
