record,alpha,map_cosine_first_vs_second,relative_map_difference
VisualCogA_Task-1,0.1,0.9722192263040458,0.24397644265975663
VisualCogA_Task-1,1.0,0.9879132817687255,0.18921812227741924
VisualCogA_Task-1,10.0,0.9951649374570058,0.17979832117203376
VisualCogA_Task-2,0.1,0.8460034587516011,0.5699811308926199
VisualCogA_Task-2,1.0,0.9330906553710635,0.38624751626001347
VisualCogA_Task-2,10.0,0.990536058748729,0.25529099100254476
VisualCogB_Task-1,0.1,-0.19955737696322434,1.5705646911362867
VisualCogB_Task-1,1.0,-0.4249540431031621,1.6891605644086238
VisualCogB_Task-1,10.0,-0.6101521596855886,1.813670249142815
VisualCogB_Task-2,0.1,0.6140818062800679,0.9270873853690398
VisualCogB_Task-2,1.0,0.1514623357876947,1.3638905014177813
VisualCogB_Task-2,10.0,-0.5040175700186237,1.8129809853649983
