condition,correct,heldout_record,mode_count,predicted_label,score_right_minus_left,trial_index,true_label
left,False,VisualCogA_Task-2,2,right,0.0854750526027461,40,left
left,False,VisualCogA_Task-2,2,right,0.25086396620517554,41,left
left,False,VisualCogA_Task-2,2,right,0.09810596281432758,42,left
left,True,VisualCogA_Task-2,2,left,-0.1629826221919724,43,left
left,True,VisualCogA_Task-2,2,left,-0.05082495234937742,44,left
right,False,VisualCogA_Task-2,2,left,-0.06476579806191647,0,right
right,True,VisualCogA_Task-2,2,right,0.15003586883857092,1,right
right,True,VisualCogA_Task-2,2,right,0.13155093398922735,2,right
right,True,VisualCogA_Task-2,2,right,0.0601608847971537,3,right
right,True,VisualCogA_Task-2,2,right,0.16967331978871852,4,right
right,True,VisualCogA_Task-2,2,right,0.4343429781216916,5,right
right,False,VisualCogA_Task-2,2,left,-0.15743276162308334,6,right
right,True,VisualCogA_Task-2,2,right,0.2536543101745586,7,right
right,True,VisualCogA_Task-2,2,right,0.023528439630622643,8,right
right,False,VisualCogA_Task-2,2,left,-0.2458763625109892,9,right
right,False,VisualCogA_Task-2,2,left,-0.013745662874102388,10,right
right,True,VisualCogA_Task-2,2,right,0.1644553560617102,11,right
right,True,VisualCogA_Task-2,2,right,0.16749948438660658,12,right
right,True,VisualCogA_Task-2,2,right,0.2219275330622327,13,right
right,True,VisualCogA_Task-2,2,right,0.02021429083917057,14,right
right,True,VisualCogA_Task-2,2,right,0.44867884138676745,15,right
right,True,VisualCogA_Task-2,2,right,0.28409934860771835,16,right
right,False,VisualCogA_Task-2,2,left,-0.36956285285942403,17,right
right,True,VisualCogA_Task-2,2,right,0.01270780665639891,18,right
right,True,VisualCogA_Task-2,2,right,0.16329358735009192,19,right
right,True,VisualCogA_Task-2,2,right,0.34122943550101437,20,right
right,False,VisualCogA_Task-2,2,left,-0.22982936066961035,21,right
right,True,VisualCogA_Task-2,2,right,0.0075748766259736665,22,right
right,True,VisualCogA_Task-2,2,right,0.2704944207159919,23,right
right,True,VisualCogA_Task-2,2,right,0.01311123238699467,24,right
right,True,VisualCogA_Task-2,2,right,0.3194565171557632,25,right
right,True,VisualCogA_Task-2,2,right,0.040256429417049704,26,right
right,False,VisualCogA_Task-2,2,left,-0.03577822186529041,27,right
right,True,VisualCogA_Task-2,2,right,0.009742819987807249,28,right
right,True,VisualCogA_Task-2,2,right,0.1861779485152849,29,right
right,True,VisualCogA_Task-2,2,right,0.24927697578741376,30,right
right,True,VisualCogA_Task-2,2,right,0.2370343927308775,31,right
right,True,VisualCogA_Task-2,2,right,0.046068367014892475,32,right
right,True,VisualCogA_Task-2,2,right,0.7623467421325865,33,right
right,True,VisualCogA_Task-2,2,right,0.07593239259405002,34,right
left,True,VisualCogB_Task-1,2,left,-0.15984513081292495,0,left
left,True,VisualCogB_Task-1,2,left,-0.05622426095194591,1,left
left,False,VisualCogB_Task-1,2,right,0.04096403967735179,2,left
left,True,VisualCogB_Task-1,2,left,-0.07388235941934726,3,left
left,False,VisualCogB_Task-1,2,right,0.2413444104393301,4,left
left,True,VisualCogB_Task-1,2,left,-0.079912678080501,5,left
left,True,VisualCogB_Task-1,2,left,-0.057772440761639704,6,left
left,True,VisualCogB_Task-1,2,left,-0.183572343428921,7,left
left,True,VisualCogB_Task-1,2,left,-0.08464130960332189,8,left
left,False,VisualCogB_Task-1,2,right,0.19051408210827114,9,left
left,False,VisualCogB_Task-1,2,right,0.2088747682980802,10,left
left,True,VisualCogB_Task-1,2,left,-0.20186272432521501,11,left
left,False,VisualCogB_Task-1,2,right,0.10495045494413312,12,left
left,False,VisualCogB_Task-1,2,right,0.10346870683177009,13,left
left,True,VisualCogB_Task-1,2,left,-0.2032476660646402,14,left
left,False,VisualCogB_Task-1,2,right,0.3391928061385693,15,left
left,True,VisualCogB_Task-1,2,left,-0.1721013771222687,16,left
left,True,VisualCogB_Task-1,2,left,-0.0040652487005032375,17,left
left,False,VisualCogB_Task-1,2,right,0.35829403063442716,18,left
left,True,VisualCogB_Task-1,2,left,-0.06250363211554122,19,left
left,False,VisualCogB_Task-1,2,right,0.05238847572056078,20,left
left,True,VisualCogB_Task-1,2,left,-0.12926051191035481,21,left
left,False,VisualCogB_Task-1,2,right,0.6018518584747793,22,left
left,False,VisualCogB_Task-1,2,right,0.0775312914034646,23,left
left,True,VisualCogB_Task-1,2,left,-0.03524153339899328,24,left
left,True,VisualCogB_Task-1,2,left,-0.039383992777594995,25,left
left,True,VisualCogB_Task-1,2,left,-0.05346782587484404,26,left
left,False,VisualCogB_Task-1,2,right,0.09548959983536884,27,left
left,False,VisualCogB_Task-1,2,right,0.16800632681332325,28,left
left,False,VisualCogB_Task-1,2,right,0.0911980028374449,29,left
left,False,VisualCogB_Task-1,2,right,0.07038769531346008,30,left
left,True,VisualCogB_Task-1,2,left,-0.040713403650179975,31,left
left,True,VisualCogB_Task-1,2,left,-0.04807140877068282,32,left
left,True,VisualCogB_Task-1,2,left,-0.0956905680796269,33,left
left,True,VisualCogB_Task-1,2,left,-0.04138804902159583,34,left
left,False,VisualCogB_Task-1,2,right,0.04426401056068732,35,left
left,True,VisualCogB_Task-1,2,left,-0.08432514725400723,36,left
left,False,VisualCogB_Task-1,2,right,0.051179723107061884,37,left
left,False,VisualCogB_Task-1,2,right,0.23980104275627542,38,left
left,True,VisualCogB_Task-1,2,left,-0.034217913797853876,39,left
left,False,VisualCogB_Task-1,2,right,0.04281198313377868,40,left
right,False,VisualCogB_Task-1,2,left,-0.07308084312082071,0,right
right,False,VisualCogB_Task-1,2,left,-0.3208962925865599,1,right
right,False,VisualCogB_Task-1,2,left,-0.0237522038938177,2,right
right,True,VisualCogB_Task-1,2,right,0.04149788362002295,3,right
right,True,VisualCogB_Task-1,2,right,0.026407015861403194,4,right
right,True,VisualCogB_Task-1,2,right,0.09136144464354902,5,right
right,False,VisualCogB_Task-1,2,left,-0.022960298930165025,6,right
right,True,VisualCogB_Task-1,2,right,0.00460152119293912,7,right
right,False,VisualCogB_Task-1,2,left,-0.12686139199552957,8,right
right,False,VisualCogB_Task-1,2,left,-0.00016022955288102353,9,right
right,False,VisualCogB_Task-1,2,left,-0.26038217903549843,10,right
right,False,VisualCogB_Task-1,2,left,-0.0790490473441326,11,right
right,True,VisualCogB_Task-1,2,right,0.186777222313869,12,right
right,False,VisualCogB_Task-1,2,left,-0.010353752643648961,13,right
right,False,VisualCogB_Task-1,2,left,-0.2179060372251297,14,right
right,True,VisualCogB_Task-1,2,right,0.04129214170535249,15,right
right,False,VisualCogB_Task-1,2,left,-0.00032307015589051887,16,right
right,False,VisualCogB_Task-1,2,left,-0.41670213999476163,17,right
right,True,VisualCogB_Task-1,2,right,0.2607916093732746,18,right
right,False,VisualCogB_Task-1,2,left,-0.09889379531273336,19,right
right,False,VisualCogB_Task-1,2,left,-0.03898784947702342,20,right
right,False,VisualCogB_Task-1,2,left,-0.12062905259392438,21,right
right,False,VisualCogB_Task-1,2,left,-0.37714870803642897,22,right
right,True,VisualCogB_Task-1,2,right,0.14915921969648388,23,right
right,False,VisualCogB_Task-1,2,left,-0.19495832473870478,24,right
right,False,VisualCogB_Task-1,2,left,-0.05707426938142662,25,right
right,True,VisualCogB_Task-1,2,right,0.46226463688035385,26,right
right,False,VisualCogB_Task-1,2,left,-0.25266694659528116,27,right
right,False,VisualCogB_Task-1,2,left,-0.2977215737346488,28,right
right,False,VisualCogB_Task-1,2,left,-0.09511489166295803,29,right
right,False,VisualCogB_Task-1,2,left,-0.25578892394845665,30,right
right,False,VisualCogB_Task-1,2,left,-0.010521844663470135,31,right
right,True,VisualCogB_Task-1,2,right,0.042225276978910035,32,right
right,True,VisualCogB_Task-1,2,right,0.4602381789761846,33,right
right,False,VisualCogB_Task-1,2,left,-0.16582325146488713,34,right
right,True,VisualCogB_Task-1,2,right,0.037635105466734264,35,right
right,False,VisualCogB_Task-1,2,left,-0.015588325294925036,36,right
right,False,VisualCogB_Task-1,2,left,-0.12875862313491931,37,right
right,False,VisualCogB_Task-1,2,left,-0.013318533365881225,38,right
right,False,VisualCogB_Task-1,2,left,-0.09927412027848537,39,right
right,False,VisualCogB_Task-1,2,left,-0.03895576152698571,40,right
right,True,VisualCogB_Task-1,2,right,0.07659827556685958,41,right
left,False,VisualCogB_Task-2,2,right,0.22068553376048933,0,left
left,True,VisualCogB_Task-2,2,left,-0.06286752661940345,1,left
left,True,VisualCogB_Task-2,2,left,-0.003710487142776088,2,left
left,True,VisualCogB_Task-2,2,left,-0.051887718772735666,3,left
left,False,VisualCogB_Task-2,2,right,0.14145217584095265,4,left
left,True,VisualCogB_Task-2,2,left,-0.19377274244870715,5,left
left,True,VisualCogB_Task-2,2,left,-0.3966147726445872,6,left
left,True,VisualCogB_Task-2,2,left,-0.10178751847793376,7,left
left,True,VisualCogB_Task-2,2,left,-0.005415482766122998,8,left
left,True,VisualCogB_Task-2,2,left,-0.22009408489137283,9,left
left,True,VisualCogB_Task-2,2,left,-0.09251265257921214,10,left
left,False,VisualCogB_Task-2,2,right,0.46556052002964904,11,left
left,True,VisualCogB_Task-2,2,left,-0.10762070714187033,12,left
left,False,VisualCogB_Task-2,2,right,0.3443187365813811,13,left
left,True,VisualCogB_Task-2,2,left,-0.04208030400460537,14,left
left,True,VisualCogB_Task-2,2,left,-0.17378451209168178,15,left
left,True,VisualCogB_Task-2,2,left,-0.34783114362239687,16,left
left,True,VisualCogB_Task-2,2,left,-0.07444511283229951,17,left
left,True,VisualCogB_Task-2,2,left,-0.1871868873103932,18,left
left,True,VisualCogB_Task-2,2,left,-0.05947232979897006,19,left
left,True,VisualCogB_Task-2,2,left,-0.13990882128736207,20,left
left,True,VisualCogB_Task-2,2,left,-0.17330869656207135,21,left
left,True,VisualCogB_Task-2,2,left,-0.13145730689650767,22,left
left,True,VisualCogB_Task-2,2,left,-0.09225969495166392,23,left
left,False,VisualCogB_Task-2,2,right,0.2738010470212446,24,left
left,True,VisualCogB_Task-2,2,left,-0.2715529536983149,25,left
left,True,VisualCogB_Task-2,2,left,-0.12516701687751947,26,left
left,False,VisualCogB_Task-2,2,right,0.09028755259963897,27,left
left,True,VisualCogB_Task-2,2,left,-0.2391571193371172,28,left
left,True,VisualCogB_Task-2,2,left,-0.060379683322530464,29,left
left,False,VisualCogB_Task-2,2,right,0.10584266981797924,30,left
left,True,VisualCogB_Task-2,2,left,-0.7463167549561203,31,left
left,False,VisualCogB_Task-2,2,right,0.2615277854066852,32,left
left,True,VisualCogB_Task-2,2,left,-0.12137892165788243,33,left
left,True,VisualCogB_Task-2,2,left,-0.21915836957743373,34,left
left,True,VisualCogB_Task-2,2,left,-0.09963452641761034,35,left
left,True,VisualCogB_Task-2,2,left,-0.049976779568094536,36,left
right,False,VisualCogB_Task-2,2,left,-0.005973441794733256,0,right
right,True,VisualCogB_Task-2,2,right,0.322737655527252,1,right
right,True,VisualCogB_Task-2,2,right,0.014641066127367042,2,right
right,True,VisualCogB_Task-2,2,right,0.006253810049852142,3,right
right,True,VisualCogB_Task-2,2,right,0.390037237536078,4,right
right,True,VisualCogB_Task-2,2,right,0.037420511343895374,5,right
right,True,VisualCogB_Task-2,2,right,0.030413966488473894,6,right
right,False,VisualCogB_Task-2,2,left,-0.03294885665936585,7,right
right,False,VisualCogB_Task-2,2,left,-0.06296047328215107,8,right
right,False,VisualCogB_Task-2,2,left,-0.32840711774129583,9,right
right,False,VisualCogB_Task-2,2,left,-0.11876773905817403,10,right
right,True,VisualCogB_Task-2,2,right,0.4707603700702231,11,right
right,False,VisualCogB_Task-2,2,left,-0.24406218021558482,12,right
right,False,VisualCogB_Task-2,2,left,-0.07057946066357906,13,right
right,False,VisualCogB_Task-2,2,left,-0.14691830952654344,14,right
right,False,VisualCogB_Task-2,2,left,-0.43894103608165214,15,right
right,False,VisualCogB_Task-2,2,left,-0.022939871442184734,16,right
right,False,VisualCogB_Task-2,2,left,-0.13224088112377308,17,right
right,False,VisualCogB_Task-2,2,left,-0.07754968455875216,18,right
right,False,VisualCogB_Task-2,2,left,-0.3760632236659353,19,right
right,True,VisualCogB_Task-2,2,right,0.2731164259191743,20,right
right,False,VisualCogB_Task-2,2,left,-0.14942351124515854,21,right
right,False,VisualCogB_Task-2,2,left,-0.021211108452347326,22,right
right,False,VisualCogB_Task-2,2,left,-0.1962296402935027,23,right
right,False,VisualCogB_Task-2,2,left,-0.41213444647738023,24,right
right,False,VisualCogB_Task-2,2,left,-0.24729145918378576,25,right
right,False,VisualCogB_Task-2,2,left,-0.16669913380399293,26,right
right,True,VisualCogB_Task-2,2,right,0.2969488407165491,27,right
right,False,VisualCogB_Task-2,2,left,-0.45872592151596026,28,right
right,True,VisualCogB_Task-2,2,right,0.23952000296753526,29,right
right,False,VisualCogB_Task-2,2,left,-0.21598526292383635,30,right
right,False,VisualCogB_Task-2,2,left,-0.8216087290564807,31,right
right,True,VisualCogB_Task-2,2,right,0.09549848741569454,32,right
right,False,VisualCogB_Task-2,2,left,-0.12075743276244708,33,right
right,False,VisualCogB_Task-2,2,left,-0.055041162412156786,34,right
right,False,VisualCogB_Task-2,2,left,-0.028129342998376716,35,right
right,False,VisualCogB_Task-2,2,left,-0.05977347311143881,36,right
right,True,VisualCogB_Task-2,2,right,0.2525221900592542,37,right
right,False,VisualCogB_Task-2,2,left,-0.11578641252788081,38,right
right,False,VisualCogB_Task-2,2,left,-0.08561484244381118,39,right
right,False,VisualCogB_Task-2,2,left,-0.24201231506151508,40,right
right,False,VisualCogB_Task-2,2,left,-0.38684424635946657,41,right
right,False,VisualCogB_Task-2,2,left,-0.049929734243108426,42,right
left,True,VisualCogA_Task-1,3,left,-0.1329344544847812,0,left
left,False,VisualCogA_Task-1,3,right,0.20941337137595054,1,left
left,False,VisualCogA_Task-1,3,right,0.24806671740266384,2,left
left,False,VisualCogA_Task-1,3,right,0.0694497828255096,3,left
left,False,VisualCogA_Task-1,3,right,0.08358358229852123,4,left
left,False,VisualCogA_Task-1,3,right,0.22676314035831233,5,left
left,False,VisualCogA_Task-1,3,right,0.16896910008326094,6,left
