ablation_parameters_refit,amplitude_shared_across_conditions,channel_corr_mean,channel_correlations,condition,fit_status,full_sensor_nrmse,late_peaks,mode_corr_mean,mode_correlations,model,n_trials,normalized_mse_skill_vs_zero,predicted_modes_rms,real_modes_rms,record,task
False,True,0.37842920780942874,"[0.4220775077780804, 0.28313249288056036, 0.43007762276964556]",right,profile_grid_converged,0.9999380584188489,"[{""channel"": ""F3"", ""peak_amplitude"": 24.05159395702637, ""peak_time_ms"": 687.5, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 30.893519714900787, ""peak_time_ms"": 671.875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 30.94310617586762, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}]",0.4745815179746511,"[0.38042841736382893, 0.29580857056813126, 0.7475075659919931]",v2_legacy_rank3,42,0.00012387932554280834,"[0.006094258047230001, 0.00047882946401621483, 0.002204906830610239]","[21.194299964554826, 2.2374897143108705, 6.971157791955574]",VisualCogB_Task-1,Task2
False,True,0.38020967301915737,"[0.34127298899788877, 0.4302622943813319, 0.36909373567825143]",right,profile_grid_converged,0.9999663450187418,"[{""channel"": ""F3"", ""peak_amplitude"": 24.05159395702637, ""peak_time_ms"": 687.5, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 30.893519714900787, ""peak_time_ms"": 671.875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 30.94310617586762, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}]",0.24257191240271114,"[0.38042841897395413, 0.2958085785905961, 0.051478739643583134]",v2_legacy_rank2,42,6.730882985861442e-05,"[0.006094257998962207, 0.0004788294410908376, 1.0480115138748973e-10]","[21.194299964554826, 2.2374897143108705, 6.971157791955574]",VisualCogB_Task-1,Task2
False,True,nan,"[null, null, null]",right,profile_grid_converged,1.0,"[{""channel"": ""F3"", ""peak_amplitude"": 24.05159395702637, ""peak_time_ms"": 687.5, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 30.893519714900787, ""peak_time_ms"": 671.875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 30.94310617586762, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}]",nan,"[null, null, null]",zero_predictor,42,0.0,"[0.0, 0.0, 0.0]","[21.194299964554826, 2.2374897143108705, 6.971157791955574]",VisualCogB_Task-1,Task2
False,True,-0.5329700146974397,"[-0.2831864081799735, -0.6637676598865153, -0.6519559760258302]",left,frozen_v1_heldout,1.0954637849267603,"[{""channel"": ""F3"", ""peak_amplitude"": -0.013922695699083316, ""peak_time_ms"": 656.25, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 77.33228561704858, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 58.20098621638772, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}]",-0.45565569953709395,"[-0.6479556465565329, -0.6216014357903011, -0.09741001626444772]",v1_fitted,37,-0.20004090408606334,"[16.79127146601227, 0.662330547540873, 2.638397983420163e-07]","[35.32824988807193, 23.130247736394022, 28.295921065610404]",VisualCogB_Task-2,Task2
True,True,0.09719256673191201,"[0.5476363527648757, 0.27683989482584953, -0.5328985473949892]",left,profile_grid_converged,0.9922527209038245,"[{""channel"": ""F3"", ""peak_amplitude"": -0.013922695699083316, ""peak_time_ms"": 656.25, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 77.33228561704858, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 58.20098621638772, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}]",-0.09505046685541362,"[0.5464805711925301, -0.3343470654436686, -0.49728490631510236]",v2_opponent_rank3,37,0.015434537858956876,"[0.030816699538543324, 1.5140419586687976, 0.02031741260161784]","[35.32824988807193, 23.130247736394022, 28.295921065610404]",VisualCogB_Task-2,Task2
False,True,0.23184327411133002,"[0.5494313027469214, 0.6812901055023064, -0.5351915859152376]",left,profile_grid_converged,0.9923843467409629,"[{""channel"": ""F3"", ""peak_amplitude"": -0.013922695699083316, ""peak_time_ms"": 656.25, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 77.33228561704858, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 58.20098621638772, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}]",0.11102099333630888,"[0.5464802726494195, -0.33434706909461687, 0.12092977645412403]",v2_opponent_rank2,37,0.015173308343512382,"[0.030816692703099627, 1.51404195440128, 1.701912786292234e-08]","[35.32824988807193, 23.130247736394022, 28.295921065610404]",VisualCogB_Task-2,Task2
False,True,0.38329170109383837,"[0.05700045665056632, 0.5094396698098431, 0.5834349768211058]",left,profile_grid_converged,0.9997708765000163,"[{""channel"": ""F3"", ""peak_amplitude"": -0.013922695699083316, ""peak_time_ms"": 656.25, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 77.33228561704858, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 58.20098621638772, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}]",-0.19266724065160248,"[0.5464804036103492, -0.6254682808352341, -0.4990138447299226]",v2_legacy_rank3,37,0.00045819450238915316,"[0.03081669569609767, 0.003120100253822854, 0.014260102958012015]","[35.32824988807193, 23.130247736394022, 28.295921065610404]",VisualCogB_Task-2,Task2
False,True,0.40174398545709095,"[-0.009428924586818705, 0.6812901055023064, 0.5333707754557852]",left,profile_grid_converged,0.9998624271873946,"[{""channel"": ""F3"", ""peak_amplitude"": -0.013922695699083316, ""peak_time_ms"": 656.25, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 77.33228561704858, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 58.20098621638772, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}]",-0.0020834966374314035,"[0.5464804039524191, -0.6254682874320793, 0.07273739356736592]",v2_legacy_rank2,37,0.0002751266989320378,"[0.030816695569290124, 0.003120100114088448, 4.6279735388326507e-10]","[35.32824988807193, 23.130247736394022, 28.295921065610404]",VisualCogB_Task-2,Task2
False,True,nan,"[null, null, null]",left,profile_grid_converged,1.0,"[{""channel"": ""F3"", ""peak_amplitude"": -0.013922695699083316, ""peak_time_ms"": 656.25, ""peak_status"": ""no_positive_peak""}, {""channel"": ""Fz"", ""peak_amplitude"": 77.33228561704858, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 58.20098621638772, ""peak_time_ms"": 664.0625, ""peak_status"": ""internal_positive_peak""}]",nan,"[null, null, null]",zero_predictor,37,0.0,"[0.0, 0.0, 0.0]","[35.32824988807193, 23.130247736394022, 28.295921065610404]",VisualCogB_Task-2,Task2
False,True,-0.599779008987477,"[-0.5976760279086923, -0.6050311869284725, -0.5966298121252664]",right,frozen_v1_heldout,0.9330620794894976,"[{""channel"": ""F3"", ""peak_amplitude"": 89.37958429161473, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""Fz"", ""peak_amplitude"": 108.36242640774934, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 149.13093082234658, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}]",-0.0819445056659392,"[-0.5988094899254919, 0.46679206937095497, -0.11381609644328065]",v1_fitted,43,0.1293951558187345,"[20.23284987979745, 0.9422743731037414, 2.8740068998285876e-07]","[101.78465809165594, 21.831264023987238, 4.773844008552673]",VisualCogB_Task-2,Task2
True,True,0.1239501800407925,"[-0.3845998554356224, 0.3472095972459851, 0.4092407983120148]",right,profile_grid_converged,1.0017056028712499,"[{""channel"": ""F3"", ""peak_amplitude"": 89.37958429161473, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""Fz"", ""peak_amplitude"": 108.36242640774934, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 149.13093082234658, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}]",0.5686511590797537,"[0.7368489135345936, 0.3708459681484582, 0.5982585955562091]",v2_opponent_rank3,43,-0.0034141148236541685,"[0.030816702463760098, 1.5140418813659715, 0.020317422394085908]","[101.78465809165594, 21.831264023987238, 4.773844008552673]",VisualCogB_Task-2,Task2
False,True,0.24971294308947634,"[-0.38854151609580995, 0.7318468612207302, 0.4058334841435088]",right,profile_grid_converged,1.0017021002965014,"[{""channel"": ""F3"", ""peak_amplitude"": 89.37958429161473, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""Fz"", ""peak_amplitude"": 108.36242640774934, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 149.13093082234658, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}]",0.3676954909902246,"[0.7368487151214509, 0.3708459663097755, -0.004608208460552704]",v2_opponent_rank2,43,-0.0034070977384221823,"[0.030816703767373284, 1.5140418925017591, 1.8313883096334328e-08]","[101.78465809165594, 21.831264023987238, 4.773844008552673]",VisualCogB_Task-2,Task2
False,True,0.6896410482879941,"[0.7469581779532021, 0.5779302695466851, 0.7440346973640952]",right,profile_grid_converged,1.0000408093962319,"[{""channel"": ""F3"", ""peak_amplitude"": 89.37958429161473, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""Fz"", ""peak_amplitude"": 108.36242640774934, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 149.13093082234658, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}]",0.6660337605297532,"[0.7368488250039401, 0.6618121674382074, 0.5994402891471118]",v2_legacy_rank3,43,-8.162045787063477e-05,"[0.03081669969268797, 0.003120086135778747, 0.014260098166512747]","[101.78465809165594, 21.831264023987238, 4.773844008552673]",VisualCogB_Task-2,Task2
False,True,0.7352729427080402,"[0.7323446159263942, 0.7318468612207302, 0.7416273509769962]",right,profile_grid_converged,1.0000383573273348,"[{""channel"": ""F3"", ""peak_amplitude"": 89.37958429161473, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""Fz"", ""peak_amplitude"": 108.36242640774934, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 149.13093082234658, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}]",0.47709277089411045,"[0.7368488254788463, 0.6618121549499535, 0.03261733225353157]",v2_legacy_rank2,43,-7.671612595427924e-05,"[0.030816699623277558, 0.0031200861193664154, 5.494329126044624e-10]","[101.78465809165594, 21.831264023987238, 4.773844008552673]",VisualCogB_Task-2,Task2
False,True,nan,"[null, null, null]",right,profile_grid_converged,1.0,"[{""channel"": ""F3"", ""peak_amplitude"": 89.37958429161473, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}, {""channel"": ""Fz"", ""peak_amplitude"": 108.36242640774934, ""peak_time_ms"": 679.6875, ""peak_status"": ""internal_positive_peak""}, {""channel"": ""F4"", ""peak_amplitude"": 149.13093082234658, ""peak_time_ms"": 695.3125, ""peak_status"": ""truncated_at_window_edge""}]",nan,"[null, null, null]",zero_predictor,43,0.0,"[0.0, 0.0, 0.0]","[101.78465809165594, 21.831264023987238, 4.773844008552673]",VisualCogB_Task-2,Task2
