correlation_to_1ms,feature,maximum_absolute_error,model_reference_stride_ms,model_relative_eeg_rmse,relative_rmse_to_1ms,stride_ms,stride_pass
0.9997151292764052,gabor,0.005488261231221259,1.0,0.0022545126266777515,0.02363505660596812,4.0,True
0.9997155268159932,B,0.004862803732976317,1.0,0.0022545126266777515,0.023598043897574368,4.0,True
0.9997151643818493,H_L,0.0033002757700160146,1.0,0.0022545126266777515,0.02368019534194968,4.0,True
0.9997214863846607,H_R,0.0015741711831651628,1.0,0.0022545126266777515,0.023326035164126395,4.0,True
0.9997173212002978,shape,0.0048744468367658556,1.0,0.0022545126266777515,0.023556570427116976,4.0,True
0.999709547758012,direction,0.0017261047032661736,1.0,0.0022545126266777515,0.02402436855044098,4.0,True
0.9995436772437132,R_L,0.00978769175708294,1.0,0.0022545126266777515,0.023806372116813496,4.0,True
0.9995763533610335,R_R,0.0013707565667573363,1.0,0.0022545126266777515,0.022907822216904836,4.0,True
0.9995378828137833,dir_left,0.008416934753768146,1.0,0.0022545126266777515,0.023962983027900574,4.0,True
nan,dir_right,0.0,1.0,0.0022545126266777515,0.0,4.0,True
