difference_nrmse,difference_rms_ratio,model,predicted_difference_rms,predicted_mode_difference_rms,real_difference_rms,real_mode_difference_rms,record,sensor_difference_correlation,task,u1_difference_correlation
0.9179543991500237,0.1876889699833765,v1_fitted,3.716070125692352,"[5.953216224960359, 2.446783218035032, 6.290692568098913e-07]",19.799086360916583,"[23.948945071839344, 11.71417718299449, 21.569365893612478]",VisualCogA_Task-1,-0.12117355665832366,Task1,0.1553669900472795
1.0851887865568046,0.21115661875874958,v2_opponent_rank3,4.180708130483621,"[4.63907325639185e-08, 7.2411988936139275, 3.7511288804149896e-08]",19.799086360916583,"[23.948945071839344, 11.71417718299449, 21.569365893612478]",VisualCogA_Task-1,-0.41587007257415143,Task1,-0.184421698021893
1.085188786613126,0.2111566184174484,v2_opponent_rank2,4.18070812372617,"[4.7305947312267616e-08, 7.241198881909678, 3.363157302224914e-08]",19.799086360916583,"[23.948945071839344, 11.71417718299449, 21.569365893612478]",VisualCogA_Task-1,-0.4158700741266559,Task1,-0.1844216992479066
1.0001170874534395,0.00042565743873036857,v2_legacy_rank3,0.008427628389589126,"[4.362031319298414e-09, 0.014597080557943143, 6.264964692418745e-08]",19.799086360916583,"[23.948945071839344, 11.71417718299449, 21.569365893612478]",VisualCogA_Task-1,-0.36284801225659397,Task1,0.2657375840159627
1.0001170884782284,0.0004256574542948657,v2_legacy_rank2,0.00842762869775195,"[4.480039566236052e-09, 0.014597081091831183, 1.0816802813086433e-09]",19.799086360916583,"[23.948945071839344, 11.71417718299449, 21.569365893612478]",VisualCogA_Task-1,-0.36285117961138086,Task1,0.26573758807891573
1.0,0.0,zero_predictor,0.0,"[0.0, 0.0, 0.0]",19.799086360916583,"[23.948945071839344, 11.71417718299449, 21.569365893612478]",VisualCogA_Task-1,nan,Task1,nan
0.9471884787241974,0.0844291607328276,v1_fitted,0.8180459896502625,"[1.3133357643463437, 0.5317394979098314, 1.9681700468682823e-07]",9.689140369865022,"[12.283477129314418, 9.850983157790228, 5.806259015871337]",VisualCogA_Task-2,0.4983931010093532,Task1,0.2849784654509608
0.9567106963556433,0.09528934174430088,v2_opponent_rank3,0.92327180791257,"[5.15057513633002e-08, 1.599153680500543, 1.927541555250395e-08]",9.689140369865022,"[12.283477129314418, 9.850983157790228, 5.806259015871337]",VisualCogA_Task-2,0.5688047364930559,Task1,0.17534342681260812
0.9567106965224993,0.09528934175379485,v2_opponent_rank2,0.9232718080045583,"[5.087497438563877e-08, 1.5991536806598716, 8.82809489855674e-09]",9.689140369865022,"[12.283477129314418, 9.850983157790228, 5.806259015871337]",VisualCogA_Task-2,0.5688047350448246,Task1,0.17534342922259394
0.9998178008274187,0.00036691260183557443,v2_legacy_rank3,0.003555067702657275,"[4.978291501081293e-08, 0.006157557885073531, 3.034911252098569e-08]",9.689140369865022,"[12.283477129314418, 9.850983157790228, 5.806259015871337]",VisualCogA_Task-2,0.574127918631513,Task1,0.20217820528799355
