difference_rms_median,difference_rms_q25,difference_rms_q75,mode,mode_index,n_trials_left,n_trials_right,record,split_half_correlation_median,split_half_correlation_q25,split_half_correlation_q75,split_repeats,time_end_ms,time_start_ms,valid_correlation_repeats
24.006988791916505,15.198770832678129,36.82804118905837,u0_common,0,29,25,VisualCogA_Task-1,0.208048208879254,-0.17258368125570886,0.47009993019397994,500,796.875,0.0,500
11.912551175820862,8.349706406471213,16.85583328082286,u1_lateral,1,29,25,VisualCogA_Task-1,-0.1965092763038525,-0.591813098997009,0.10995300605059265,500,796.875,0.0,500
21.484443918878767,13.891316137341926,31.0107268476704,u2_shape,2,29,25,VisualCogA_Task-1,0.723832598155199,-0.08758917914145176,0.9064801321329055,500,796.875,0.0,500
31.219828156342885,21.517115184529143,43.96128034959239,u0_common,0,45,35,VisualCogA_Task-2,-0.5709307300017281,-0.7829921313810146,-0.2302711444359075,500,796.875,0.0,500
11.356964690193001,6.861013187294009,17.556038725361702,u1_lateral,1,45,35,VisualCogA_Task-2,-0.37533334532548385,-0.6803040020393264,0.10427952963375527,500,796.875,0.0,500
9.956145835084707,6.021109945859836,16.16009511787568,u2_shape,2,45,35,VisualCogA_Task-2,-0.6115458691855598,-0.865474881089062,-0.024455768925956505,500,796.875,0.0,500
19.203780812677365,12.939812031344587,28.296022407337524,u0_common,0,41,42,VisualCogB_Task-1,0.011258601427945165,-0.3468091991666741,0.2723280060880692,500,796.875,0.0,500
13.700302186234836,9.34144836434477,20.029811561932654,u1_lateral,1,41,42,VisualCogB_Task-1,-0.41116295865914293,-0.7007234815536663,0.08688694271642196,500,796.875,0.0,500
24.575818379337008,14.114760270702263,36.8877493272188,u2_shape,2,41,42,VisualCogB_Task-1,-0.46973656505895534,-0.911845640780241,0.3566214823226831,500,796.875,0.0,500
81.32230527557866,49.005202533237544,112.62118629287437,u0_common,0,37,43,VisualCogB_Task-2,0.8707697001766139,0.7666437755402106,0.9290531153317774,500,796.875,0.0,500
8.343293111896301,5.372144576490157,12.314325508942385,u1_lateral,1,37,43,VisualCogB_Task-2,-0.8391192552256783,-0.9311615387889811,-0.628274898293735,500,796.875,0.0,500
33.59430271631298,21.70098284290851,42.85721802622945,u2_shape,2,37,43,VisualCogB_Task-2,0.9748749849665348,0.9358654918422613,0.9900061365099181,500,796.875,0.0,500
