条件,OFF峰值,OFF峰值时间(ms),ON峰值,ON峰值时间(ms),总响应峰值,总响应峰值时间(ms)
左提示,0.08600985258817673,27.0,0.08637462556362152,240.0,0.08637633174657822,240.0
右提示,0.08600983023643494,27.0,0.08637462556362152,240.0,0.08637631684541702,240.0
