任务,电极,右减左_RMSE,右减左_NRMSE,右减左_相关,实测差异RMS,模型差异RMS
任务一,F3,10.456475270705678,0.7362926765363571,0.6320098927085411,14.20152013448602,4.593610470212993
任务一,Fz,4.270060392887022,1.2260576553335105,0.7219637451696281,3.482756601462993,2.679343971854939
任务一,F4,14.639571061673346,0.9490443607236478,-0.05950211115325817,15.425591961276341,2.442992775282857
任务二,F3,24.03100002322633,0.9159576918839947,-0.3352405659068924,26.235927964967445,4.023494438630404
任务二,Fz,11.938713948929761,0.9614362302945674,-0.5344843470844809,12.417582750414915,2.59510701415154
任务二,F4,19.637194908565178,1.017438723826731,-0.5592440655723473,19.300616782804283,2.51630662704117
