任务,条件,电极,NRMSE_任务均值样条RMS,相关_任务均值样条,RMSE_原始数据单位,NRMSE_任务实测均值RMS,相关_任务实测均值
任务一,左提示,F3,0.3150925175277194,0.9611253446206235,6.485000407429295,0.31324090701648666,0.9612661385591382
任务一,左提示,Fz,0.2662736895496905,0.944443190563402,8.35622572541488,0.2658909811176924,0.9446510972948361
任务一,左提示,F4,0.36997074246278666,0.926372194883624,10.593431656040025,0.37032802020389527,0.9260685819926452
任务一,右提示,F3,0.2820943251657891,0.9517773729868422,8.697891050855887,0.28613118830933865,0.9478959089814959
任务一,右提示,Fz,0.26629481186158854,0.9315113201959695,7.532346953440223,0.2718626147212489,0.9288972330958021
任务一,右提示,F4,0.3204344397722478,0.9367497195808338,12.739717542217344,0.3226655883402819,0.9345846776822816
任务二,左提示,F3,1.1617574114712101,0.7589564229644915,15.915243813283809,1.1622076582951206,0.7544004284493869
任务二,左提示,Fz,0.4146201443452864,0.9088073178130978,9.292873224046552,0.4181380982941244,0.9063780159460497
任务二,左提示,F4,0.5577181564482631,0.8799821119581638,13.97776265856685,0.56041991496986,0.8780318348091899
任务二,右提示,F3,0.48307142634875605,0.9169146850307033,13.238798586240373,0.48354034473357077,0.915727479271919
任务二,右提示,Fz,0.33721614233668745,0.9186617515390054,11.446622798535827,0.33935832331699595,0.9167917551577439
任务二,右提示,F4,0.3578322221608213,0.9377625229937021,15.430846377986816,0.35929902917780787,0.9362665223246684
