模型,NRMSE,相关,参数组数
按任务分别拟合,0.3875544593588167,0.8776012929740817,6
全任务共享参数_分电极,0.4081046919409068,0.8642492793303848,3
全任务共享参数 · 任务一,0.3334328730806032,0.9152746319289693,3
全任务共享参数 · 任务二,0.47659012570634635,0.8431100285818427,3
旧版全任务共享参数,0.8486124798740252,0.8278432062971257,1
