条件,V1峰值,V1峰值时间(ms),IT峰值,IT峰值时间(ms),PFC峰值,PFC峰值时间(ms),PFC最大左右差,PFC最大左右差时间(ms)
相向,0.19869737327098846,54.0,0.2172570675611496,157.0,0.4211549758911133,416.0,0.0,0.0
背向,0.1621091216802597,55.0,0.17878375947475433,162.0,0.39888831973075867,438.0,5.960464477539063e-08,560.0
