层级,相对L2条件差异,平均绝对差峰值,差异峰值时间(ms),镜像交换残差
V1,0.43602433800697327,0.009268036112189293,257.0,2.852897011962341e-07
IT,0.12198520451784134,0.005538573954254389,313.0,2.1771364799860748e-07
PFC,0.03826155886054039,0.00972823053598404,329.0,1.1486073958622e-07
