dataset,scenario,clip_policy,sqi,channel,window,n_left,n_right,left_right_difference_rms,left_right_difference_mean,max_abs_difference,max_abs_difference_time_ms,bootstrap_pointwise_ci_excludes_zero_pct,imputed_sample_fraction,bootstrap_repeats,interpretation
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,F3,cue_offset_200_800ms,54,46,29.567118533846426,27.917891481420977,51.94800995482523,796.875,0.0,0.04176470588235294,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,Fz,cue_offset_200_800ms,54,46,3.273977573609567,-1.615786085316822,11.266693099279143,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,F4,cue_offset_200_800ms,54,46,17.068360319969727,16.367560364352588,33.57869422568415,796.875,0.0,0.0496078431372549,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,F3,cue_full_0_800ms,54,46,25.91582733015865,22.928587681860932,51.94800995482523,796.875,0.0,0.03795121951219512,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,Fz,cue_full_0_800ms,54,46,3.10564521415222,-1.6653276856987926,11.266693099279143,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,F4,cue_full_0_800ms,54,46,15.093457535005257,13.785192939725595,33.57869422568415,796.875,0.0,0.04478048780487805,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,F3,target_candidate_250_500ms,54,46,8.441711091939796,8.335280716922806,11.62922834028998,2453.125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,Fz,target_candidate_250_500ms,54,46,2.272702720241272,1.6979415429563092,4.417000890065819,2656.25,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_不做SQI,impute,off,F4,target_candidate_250_500ms,54,46,1.521664832828588,-1.2773036436249474,2.8816696288756307,2476.5625,0.0,0.01,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,F3,cue_onset_0_200ms,36,27,8.935218997068956,8.651740696162065,11.659718510824922,93.75,0.0,0.031746031746031744,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,Fz,cue_onset_0_200ms,36,27,1.9846208427534817,-1.5738231438261372,3.9966190348708577,132.8125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,F4,cue_onset_0_200ms,36,27,17.67819896127306,17.370999492868975,21.479290775091396,171.875,0.19230769230769232,0.043345543345543344,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,F3,cue_offset_200_800ms,36,27,20.132106443858607,19.115912710531887,36.02213665443412,796.875,0.0,0.012656914617698932,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,Fz,cue_offset_200_800ms,36,27,2.7828669271398527,-0.6187128186595527,6.385152420917268,367.1875,0.012987012987012988,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,F4,cue_offset_200_800ms,36,27,16.921253416074215,16.643151586067727,22.59065910947236,367.1875,0.0,0.03122730573710966,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,F3,cue_full_0_800ms,36,27,17.976258145312688,16.4744712311764,36.02213665443412,796.875,0.0,0.017499032133178476,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,Fz,cue_full_0_800ms,36,27,2.6045545225153437,-0.8598086288957778,6.385152420917268,367.1875,0.009708737864077669,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,F4,cue_full_0_800ms,36,27,17.11548597699021,16.826880183901054,22.59065910947236,367.1875,0.04854368932038835,0.03430120015485869,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,F3,target_candidate_250_500ms,36,27,3.477898575708094,2.811579275353787,8.058464125522779,2453.125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,Fz,target_candidate_250_500ms,36,27,4.402225886055129,3.7035923859384017,8.27364936877411,2656.25,0.09375,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-1,插补削顶_执行SQI,impute,on,F4,target_candidate_250_500ms,36,27,2.202278852488527,1.5380464480133642,4.53033200372548,2460.9375,0.0,0.015873015873015872,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,F3,cue_onset_0_200ms,48,37,12.273656695090008,10.48987537196123,21.918608723016686,195.3125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,Fz,cue_onset_0_200ms,48,37,5.265896399427235,4.360753455459863,8.306407030212661,187.5,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,F4,cue_onset_0_200ms,48,37,2.7848339207092354,0.23600276586341773,4.898252877673069,85.9375,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,F3,cue_offset_200_800ms,48,37,22.97951238351404,22.81475674906158,28.311994319028045,585.9375,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,Fz,cue_offset_200_800ms,48,37,4.3304885409556935,1.6986024342974886,10.175374737774902,250.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,F4,cue_offset_200_800ms,48,37,3.3751884660539555,2.0180673459448606,6.917868776498636,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,F3,cue_full_0_800ms,48,37,20.80355973272524,19.70362164416246,28.311994319028045,585.9375,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,Fz,cue_full_0_800ms,48,37,4.584653986779566,2.370601721192845,10.175374737774902,250.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,F4,cue_full_0_800ms,48,37,3.2363437989883614,1.5682258014582828,6.917868776498636,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,F3,target_candidate_250_500ms,48,37,12.005266783739861,11.43752772391765,16.92398729808929,2500.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,Fz,target_candidate_250_500ms,48,37,6.108434358916352,5.454288918504334,9.300987009745352,2507.8125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_不做SQI,exclude,off,F4,target_candidate_250_500ms,48,37,5.341425530771906,3.4680648901818,10.02223711143547,2453.125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,F3,cue_onset_0_200ms,45,35,11.75014567647389,10.255013861606882,19.920706154083764,195.3125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,Fz,cue_onset_0_200ms,45,35,5.372897808885204,4.515354018051969,8.203145767012,195.3125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,F4,cue_onset_0_200ms,45,35,3.3396174531214786,1.9084678070221486,5.987978656580612,195.3125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,F3,cue_offset_200_800ms,45,35,15.714299374209846,14.703901952141655,23.201019411363667,250.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,Fz,cue_offset_200_800ms,45,35,6.017398475449213,-0.7205386314875502,10.297274328456922,750.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,F4,cue_offset_200_800ms,45,35,5.7840657256747585,-0.11555308594798706,10.083783739453423,750.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,F3,cue_full_0_800ms,45,35,14.814068615134746,13.580881657443557,23.201019411363667,250.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,Fz,cue_full_0_800ms,45,35,5.861399400680672,0.6011430082020371,10.297274328456922,750.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,F4,cue_full_0_800ms,45,35,5.27500629882318,0.3953648093648626,10.083783739453423,750.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,F3,target_candidate_250_500ms,45,35,9.315927291190903,8.483698139101305,14.245001030521909,2500.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,Fz,target_candidate_250_500ms,45,35,5.695077737060657,5.094960470446415,8.84963198242189,2507.8125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,剔除削顶_执行SQI,exclude,on,F4,target_candidate_250_500ms,45,35,5.745768467259973,3.8852662198089054,10.86513531727897,2453.125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,F3,cue_onset_0_200ms,57,43,5.342861434588163,4.008489390324202,9.534456182674417,195.3125,0.0,0.01,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,Fz,cue_onset_0_200ms,57,43,5.448205826755062,4.732972060291853,8.32305979627059,195.3125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,F4,cue_onset_0_200ms,57,43,3.6011058062291434,-1.956991125007085,6.118849762129465,78.125,0.0,0.0009615384615384616,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,F3,cue_offset_200_800ms,57,43,9.78141012594707,9.450780576858243,14.028609056817515,593.75,0.0,0.015228758169934641,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,Fz,cue_offset_200_800ms,57,43,5.285962352931059,4.268571855364021,10.860245997907935,250.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,F4,cue_offset_200_800ms,57,43,5.367684768903052,-3.5972286556179514,12.469496394505164,539.0625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,F3,cue_full_0_800ms,57,43,8.873026184471096,8.076998335597224,14.028609056817515,593.75,0.0,0.013902439024390244,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,Fz,cue_full_0_800ms,57,43,5.327383245098806,4.385799091559397,10.860245997907935,250.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,F4,cue_full_0_800ms,57,43,4.981221144828048,-3.183188113910353,12.469496394505164,539.0625,0.0,0.00024390243902439024,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,F3,target_candidate_250_500ms,57,43,1.951004070356407,1.3415312301954476,4.007960296852286,2507.8125,0.0,0.00953125,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,Fz,target_candidate_250_500ms,57,43,4.02244202955689,3.6018510616419603,5.607722355681609,2507.8125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_不做SQI,impute,off,F4,target_candidate_250_500ms,57,43,5.105694683906503,-4.392085735612791,9.289183377807895,2617.1875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,F3,cue_onset_0_200ms,52,39,12.236409013785451,10.957691794367198,20.56870343486147,195.3125,0.0,0.01098901098901099,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,Fz,cue_onset_0_200ms,52,39,8.777193763729443,8.086113139560146,13.849404538651367,195.3125,0.038461538461538464,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,F4,cue_onset_0_200ms,52,39,3.5253093591065165,2.126202676323241,6.642021963865229,0.0,0.0,0.0010566356720202875,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,F3,cue_offset_200_800ms,52,39,22.972811690510014,22.869666436957104,26.96167202203226,601.5625,0.0,0.007756948933419522,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,Fz,cue_offset_200_800ms,52,39,14.809321521457107,14.512342387669118,22.657481565468302,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,F4,cue_offset_200_800ms,52,39,10.70781754805169,9.459671919491587,25.681214500125805,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
