sample,stage,candidate,model,feature_set,scaler,parameter,gamma,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
q1_quality_matched,cue_locked,rbf_svm_drop_redundant_alpha_asym_12_C_1_gamma_0.1,rbf_svm,drop_redundant_alpha_asym_12,standard,1.0,0.1,0.4891189759036144,0.48880107855844745,0.007159851981432277,0.5127652021169145,0.4801256931663012,4
q1_quality_matched,cue_locked,rbf_svm_drop_redundant_alpha_asym_12_C_1_gamma_scale,rbf_svm,drop_redundant_alpha_asym_12,standard,1.0,scale,0.49213102409638554,0.4927727088063114,0.01328157674321538,0.513451794241201,0.4833905155269937,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_0.1_gamma_0.03,rbf_svm,full_baseline_13,standard,0.1,0.03,0.4827532351628737,0.5,0.0,0.48792088517018595,0.3251574734945103,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_0.1_gamma_0.1,rbf_svm,full_baseline_13,standard,0.1,0.1,0.4827532351628737,0.5,0.0,0.5051792793354982,0.3251574734945103,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_0.1_gamma_scale,rbf_svm,full_baseline_13,standard,0.1,scale,0.4827532351628737,0.5,0.0,0.5004040115546755,0.3251574734945103,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_10_gamma_0.03,rbf_svm,full_baseline_13,standard,10.0,0.03,0.49665049085229807,0.4954999663651648,0.027952584783136458,0.5228385243375366,0.48944064094585205,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_10_gamma_0.1,rbf_svm,full_baseline_13,standard,10.0,0.1,0.4701458612226685,0.4670782187889098,0.044003930535490655,0.4837719341436555,0.46632711904493607,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_10_gamma_scale,rbf_svm,full_baseline_13,standard,10.0,scale,0.48264307228915665,0.47774302066261304,0.03368772189910939,0.4872882499587567,0.47675863046306205,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_1_gamma_0.03,rbf_svm,full_baseline_13,standard,1.0,0.03,0.4627272980812137,0.4693830957342898,0.048875296642822405,0.47870338310223304,0.4548569793649121,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_1_gamma_0.1,rbf_svm,full_baseline_13,standard,1.0,0.1,0.4983810240963855,0.4985978770180366,0.012632420086246906,0.5055175637568503,0.48979564417785165,4
q1_quality_matched,cue_locked,rbf_svm_full_baseline_13_C_1_gamma_scale,rbf_svm,full_baseline_13,standard,1.0,scale,0.48287176483712624,0.48456681183053746,0.020649563593201373,0.4975686917774269,0.47285333374031413,4
q1_quality_matched,cue_locked,robust_logistic_drop_redundant_alpha_asym_12_l2_0.1,logistic,drop_redundant_alpha_asym_12,robust,0.1,,0.487611557340473,0.48567729964623974,0.018967193076051124,0.48779746483376657,0.48311092328900773,4
q1_quality_matched,cue_locked,robust_logistic_drop_redundant_alpha_asym_12_l2_1,logistic,drop_redundant_alpha_asym_12,robust,1.0,,0.49653475011155734,0.49353874784200247,0.032210614654627885,0.4817376880245815,0.4902172843580318,4
q1_quality_matched,cue_locked,robust_logistic_drop_redundant_alpha_asym_12_l2_10,logistic,drop_redundant_alpha_asym_12,robust,10.0,,0.4775588464970995,0.4778977429603322,0.0686573170205294,0.47725490259503595,0.47014667867599624,4
q1_quality_matched,cue_locked,robust_logistic_full_baseline_13_l2_0.1,logistic,full_baseline_13,robust,0.1,,0.487611557340473,0.48567729964623974,0.018967193076051124,0.4871673330408441,0.48311092328900773,4
q1_quality_matched,cue_locked,robust_logistic_full_baseline_13_l2_1,logistic,full_baseline_13,robust,1.0,,0.49653475011155734,0.49353874784200247,0.032210614654627885,0.4806024022060559,0.4902172843580318,4
q1_quality_matched,cue_locked,robust_logistic_full_baseline_13_l2_10,logistic,full_baseline_13,robust,10.0,,0.47605421686746985,0.4763651759105238,0.06354074825594558,0.47302483451572974,0.46846412883738514,4
q1_quality_matched,cue_locked,shrinkage_lda_bandpower_only_9,lda,bandpower_only_9,standard,,,0.5090319611780455,0.5067952759850877,0.034961264275373334,0.475791096064924,0.5008737251195531,4
q1_quality_matched,cue_locked,shrinkage_lda_drop_redundant_alpha_asym_12,lda,drop_redundant_alpha_asym_12,standard,,,0.5026690093708166,0.5008375325273442,0.04733059902187027,0.47604160380325616,0.4959130571811027,4
q1_quality_matched,cue_locked,shrinkage_lda_erp_only_3,lda,erp_only_3,standard,,,0.4737226684515841,0.4883695180934898,0.01462682623760001,0.5097507125470824,0.44965012785190595,4
q1_quality_matched,cue_locked,shrinkage_lda_full_baseline_13,lda,full_baseline_13,standard,,,0.5057940093708166,0.5037445092715302,0.045418671156423125,0.4751601660897141,0.49943478338442404,4
q1_quality_matched,target_locked,baseline_logistic_l2_1,logistic,full_baseline_13,standard,1.0,,0.5135542168674698,0.5104496858316758,0.03227310342223226,0.5403063844841184,0.5003150847317189,4
q1_quality_matched,target_locked,linear_svm_drop_redundant_alpha_asym_12_C_0.01,linear_svm,drop_redundant_alpha_asym_12,standard,0.01,,0.5227061021865239,0.521278319622932,0.05345942819801836,0.5319256595966554,0.510783722090987,4
q1_quality_matched,target_locked,linear_svm_drop_redundant_alpha_asym_12_C_0.1,linear_svm,drop_redundant_alpha_asym_12,standard,0.1,,0.516566265060241,0.5134984663194806,0.037728173845281626,0.5397297532241887,0.5036785776219078,4
q1_quality_matched,target_locked,linear_svm_drop_redundant_alpha_asym_12_C_1,linear_svm,drop_redundant_alpha_asym_12,standard,1.0,,0.5194653614457831,0.5166730694940839,0.052293209449969735,0.5434654424660683,0.5067111512987885,4
q1_quality_matched,target_locked,linear_svm_drop_redundant_alpha_asym_12_C_10,linear_svm,drop_redundant_alpha_asym_12,standard,10.0,,0.513328313253012,0.5108465112285012,0.050748502456743484,0.543713288827612,0.500814567429239,4
q1_quality_matched,target_locked,linear_svm_full_baseline_13_C_0.01,linear_svm,full_baseline_13,standard,0.01,,0.525605198572066,0.5228656212102336,0.0664768977094197,0.527891396142027,0.5105825276253362,4
q1_quality_matched,target_locked,linear_svm_full_baseline_13_C_0.1,linear_svm,full_baseline_13,standard,0.1,,0.516566265060241,0.5134984663194806,0.037728173845281626,0.5394670274442215,0.5036785776219078,4
q1_quality_matched,target_locked,linear_svm_full_baseline_13_C_1,linear_svm,full_baseline_13,standard,1.0,,0.5194653614457831,0.5166730694940839,0.052293209449969735,0.5434654424660683,0.5067111512987885,4
q1_quality_matched,target_locked,linear_svm_full_baseline_13_C_10,linear_svm,full_baseline_13,standard,10.0,,0.513328313253012,0.5108465112285012,0.050748502456743484,0.5438584688508409,0.500814567429239,4
q1_quality_matched,target_locked,logistic_bandpower_only_9_l2_0.1,logistic,bandpower_only_9,standard,0.1,,0.49759315037929497,0.49652985853726167,0.07103255481035131,0.5378091255113181,0.48770457248723564,4
q1_quality_matched,target_locked,logistic_bandpower_only_9_l2_10,logistic,bandpower_only_9,standard,10.0,,0.5242135207496653,0.5238253508937296,0.06697901536382449,0.5376088389829662,0.5107029319138858,4
q1_quality_matched,target_locked,logistic_bandpower_only_9_l2_100,logistic,bandpower_only_9,standard,100.0,,0.5227061021865239,0.5239102632875493,0.05251551367797329,0.5406180365098354,0.4986070941922709,4
q1_quality_matched,target_locked,logistic_drop_redundant_alpha_asym_12_l2_0.1,logistic,drop_redundant_alpha_asym_12,standard,0.1,,0.5210829428826417,0.5187534879726872,0.05032880603753194,0.5415319994068992,0.5093194854147398,4
q1_quality_matched,target_locked,logistic_drop_redundant_alpha_asym_12_l2_10,logistic,drop_redundant_alpha_asym_12,standard,10.0,,0.525605198572066,0.5244689038543557,0.06427923678721571,0.5329771309467947,0.5132978563485422,4
q1_quality_matched,target_locked,logistic_drop_redundant_alpha_asym_12_l2_100,logistic,drop_redundant_alpha_asym_12,standard,100.0,,0.5178505689424364,0.5183967310330093,0.07067487086776256,0.5257002922886898,0.49786534838829843,4
q1_quality_matched,target_locked,logistic_erp_only_3_l2_0.1,logistic,erp_only_3,standard,0.1,,0.4902819611780455,0.4921157625356972,0.05597980364928775,0.5239404593520813,0.4850041679120269,4
q1_quality_matched,target_locked,logistic_erp_only_3_l2_10,logistic,erp_only_3,standard,10.0,,0.4720939312806782,0.47561495821128696,0.07144943414691236,0.5154927887660103,0.45824462131384447,4
q1_quality_matched,target_locked,logistic_erp_only_3_l2_100,logistic,erp_only_3,standard,100.0,,0.5135458500669344,0.5262259843102157,0.038691903414145405,0.5170413722401909,0.42532610356165945,4
q1_quality_matched,target_locked,logistic_full_baseline_13_l2_0.1,logistic,full_baseline_13,standard,0.1,,0.5210829428826417,0.5187534879726872,0.05032880603753194,0.5410693590662101,0.5093194854147398,4
q1_quality_matched,target_locked,logistic_full_baseline_13_l2_10,logistic,full_baseline_13,standard,10.0,,0.5209727800089246,0.5185876110512799,0.05856820336562444,0.5311100938849487,0.5061937625689563,4
q1_quality_matched,target_locked,logistic_full_baseline_13_l2_100,logistic,full_baseline_13,standard,100.0,,0.5208598282016956,0.5204504443041322,0.0632241281345674,0.5203276912313234,0.5009104972770365,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_0.1_gamma_0.03,rbf_svm,drop_redundant_alpha_asym_12,standard,0.1,0.03,0.48738286479250337,0.505,0.01000000000000002,0.5393507134264464,0.3358380946658749,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_0.1_gamma_0.1,rbf_svm,drop_redundant_alpha_asym_12,standard,0.1,0.1,0.4842578647925033,0.5014285714285714,0.014093951035189303,0.53781757244057,0.3343125416529077,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_0.1_gamma_scale,rbf_svm,drop_redundant_alpha_asym_12,standard,0.1,scale,0.4842578647925033,0.5021182266009852,0.015319801049797988,0.5404865600493155,0.3416396657483245,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.03,rbf_svm,drop_redundant_alpha_asym_12,standard,10.0,0.03,0.4949171686746988,0.4937657210549714,0.04197527944200514,0.5134482889518389,0.47948202346250623,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_0.1,rbf_svm,drop_redundant_alpha_asym_12,standard,10.0,0.1,0.532414379741187,0.5334432249100135,0.00448926987511748,0.5343325421826018,0.5283299285393929,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_10_gamma_scale,rbf_svm,drop_redundant_alpha_asym_12,standard,10.0,scale,0.5169023315484159,0.5172445835979291,0.022556836525744958,0.540037885192598,0.5101261405063788,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_1_gamma_0.03,rbf_svm,drop_redundant_alpha_asym_12,standard,1.0,0.03,0.5054607318161535,0.5025621394245604,0.060300146060698,0.5393106221041559,0.48562769410081424,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_1_gamma_0.1,rbf_svm,drop_redundant_alpha_asym_12,standard,1.0,0.1,0.5024486836233825,0.504436908282088,0.05103951649185267,0.5234416870927912,0.49211138557197537,4
q1_quality_matched,target_locked,rbf_svm_drop_redundant_alpha_asym_12_C_1_gamma_scale,rbf_svm,drop_redundant_alpha_asym_12,standard,1.0,scale,0.4993236836233824,0.500792889699045,0.052809667638394696,0.5239557609994951,0.4889528204202313,4
