heldout_record,train_records,tau_s_ms,g_i,tau_a_ms,shared_gain_signed,training_loss,optimizer_success,fit_status,boundary_flags,objective_evaluations,resolution
VisualCogA_Task-1,"[""VisualCogA_Task-2"", ""VisualCogB_Task-1"", ""VisualCogB_Task-2""]",95.7525842795679,0.6340957982336972,60.0,-10.896011916114627,1094.551700411397,False,profile_grid_best_candidate_optimizer_not_converged,"{""tau_s"": false, ""g_i"": false, ""tau_a"": false}",225,128
VisualCogA_Task-2,"[""VisualCogA_Task-1"", ""VisualCogB_Task-1"", ""VisualCogB_Task-2""]",76.13873230460632,0.6488285914044968,80.0,-3.851202225203573,781.7187454529113,False,profile_grid_best_candidate_optimizer_not_converged,"{""tau_s"": false, ""g_i"": false, ""tau_a"": false}",225,128
VisualCogB_Task-1,"[""VisualCogA_Task-1"", ""VisualCogA_Task-2"", ""VisualCogB_Task-2""]",100.0,0.51,40.0,-7.902849984982225,1510.0332780159272,False,profile_grid_best_candidate_optimizer_not_converged,"{""tau_s"": true, ""g_i"": true, ""tau_a"": true}",225,128
VisualCogB_Task-2,"[""VisualCogA_Task-1"", ""VisualCogA_Task-2"", ""VisualCogB_Task-1""]",100.0,0.5,40.0,-6.291422006998396,1133.291110358603,True,profile_grid_converged,"{""tau_s"": true, ""g_i"": true, ""tau_a"": true}",223,128
