sensor,source_1,source_2,source_3,source_4,source_5,source_6
F3,3.587598460678274,4.18320178911657,-3.039602868910368,2.035866407330042,-24.49730945997114,-6.2737780819686915
Fz,4.38620541893941,4.38620541893941,0.5927046721884022,0.5927046721884022,-11.80533877371384,-11.80533877371384
F4,4.18320178911657,3.587598460678274,2.035866407330042,-3.039602868910368,-6.2737780819686915,-24.49730945997114
