record,task,left_right_difference_rms_measured,left_right_difference_rms_model,left_right_difference_nrmse,left_right_difference_correlation,measured_mode_rms,model_mode_rms,measured_lateral_energy_fraction,model_lateral_energy_fraction
VisualCogA_Task-1,Task1,19.799086360916583,12.575602685591537,1.2989134877692046,-0.29485164283663634,"[23.948945071839344, 11.71417718299449, 21.569365893612478]","[9.899633477964855e-06, 21.781582787238378, 1.2408201143708916e-05]",0.11668419185310394,0.9999999999994688
VisualCogA_Task-2,Task1,9.689140369865022,4.686412177908461,0.9078068211170792,0.4896937005102841,"[12.283477129314418, 9.850983157790228, 5.806259015871337]","[8.150393002213351e-06, 8.117103997342777, 1.2701732166169042e-06]",0.34456201851662055,0.9999999999989672
VisualCogB_Task-1,Task2,14.519325918548336,8.516257381385236,0.9887858893094843,0.3702239678793317,"[16.183525645703526, 11.476365808899235, 15.453769795175331]","[1.0203480035780305e-05, 14.750590474881319, 1.5226077785599662e-05]",0.2082545999856482,0.9999999999984559
VisualCogB_Task-2,Task2,50.10169981403533,6.792735598419179,1.0059507167273767,0.03618963721500216,"[80.26154843459422, 2.489452913814931, 32.90026504206783]","[3.1238297333928905e-06, 11.765363178842536, 4.463303584638767e-06]",0.0008229655522111051,0.9999999999997855
