record,method,mode,difference_nrmse,difference_correlation,predicted_to_measured_difference_rms
VisualCogA_Task-1,revision,u0 common,0.7680264129680658,0.7875714678002507,0.24117862768986717
VisualCogA_Task-1,revision,u1 lateral,1.1863451757252157,0.1521731040525034,0.20502884943471872
VisualCogA_Task-1,revision,u2 shape contrast,0.9999999359753248,0.00884661979264164,7.476414024246452e-08
VisualCogA_Task-1,revision_v2,u0 common,0.9999999707525002,0.7648235789094148,3.042569485246581e-08
VisualCogA_Task-1,revision_v2,u1 lateral,1.5728916082488407,-0.1832379699456089,0.6033549747999979
VisualCogA_Task-1,revision_v2,u2 shape contrast,0.9999999766131514,0.9337421245979118,2.3922127027323604e-08
VisualCogA_Task-1,revision_v3,u0 common,0.9999995059979949,0.755323451768825,5.437533072385839e-07
VisualCogA_Task-1,revision_v3,u1 lateral,2.964922441960734,0.24843319205722184,2.1809990460105673
VisualCogA_Task-1,revision_v3,u2 shape contrast,0.9999996737009831,0.4477833249524362,3.3748931711489885e-07
VisualCogA_Task-2,revision,u0 common,0.9345381616453244,0.10187979369892404,0.10376899551973208
VisualCogA_Task-2,revision,u1 lateral,0.9522773468792808,0.2888087342367113,0.052984791376247814
VisualCogA_Task-2,revision,u2 shape contrast,0.9999999456873276,0.7613811535257359,6.385525553466912e-08
VisualCogA_Task-2,revision_v2,u0 common,0.9999999826793574,-0.29399520470207,2.9211343600813383e-08
VisualCogA_Task-2,revision_v2,u1 lateral,0.8704252723099863,0.17649738743255805,0.15999218660640258
VisualCogA_Task-2,revision_v2,u2 shape contrast,0.9999999592412178,0.8931092793443411,4.178690534237231e-08
VisualCogA_Task-2,revision_v3,u0 common,0.9999996758452933,-0.09051912306626313,5.068396437925241e-07
VisualCogA_Task-2,revision_v3,u1 lateral,0.6515396457714843,0.22854715502451706,0.9685224599842457
VisualCogA_Task-2,revision_v3,u2 shape contrast,1.0000012171738233,-0.9229574474961486,1.238630622548259e-06
VisualCogB_Task-1,revision,u0 common,1.2803694207691856,-0.6234422584784554,0.3032507558251125
VisualCogB_Task-1,revision,u1 lateral,0.8345707552332706,0.6498253933775006,0.17540324570661453
VisualCogB_Task-1,revision,u2 shape contrast,1.0000005178531441,-0.9713159542781865,5.254144331063373e-07
VisualCogB_Task-1,revision_v2,u0 common,0.9999999989402739,0.8207046714191492,1.1313254857566574e-09
VisualCogB_Task-1,revision_v2,u1 lateral,0.9825357950969587,0.4607287397660591,0.020429895770212682
VisualCogB_Task-1,revision_v2,u2 shape contrast,0.9999999994333424,0.5383527897916134,8.388422662806716e-10
VisualCogB_Task-1,revision_v3,u0 common,0.9999998670260352,0.25267763928052117,2.421436274645854e-07
VisualCogB_Task-1,revision_v3,u1 lateral,1.1401608939198418,0.521778651840747,1.790863344550157
VisualCogB_Task-1,revision_v3,u2 shape contrast,0.9999996370000396,0.9080106492447192,3.723587900034153e-07
VisualCogB_Task-2,revision,u0 common,0.9598001814578824,0.48811933695206094,0.04700611939162162
VisualCogB_Task-2,revision,u1 lateral,0.4616398213946412,0.697148370437217,0.6305634929929598
VisualCogB_Task-2,revision,u2 shape contrast,0.999999965642036,-0.6230887497580864,5.075680719723137e-08
VisualCogB_Task-2,revision_v2,u0 common,0.9999999988262036,-0.027963329868146276,1.506835974819675e-09
VisualCogB_Task-2,revision_v2,u1 lateral,0.4816699976297248,0.5990383636506192,1.1913440024853277
VisualCogB_Task-2,revision_v2,u2 shape contrast,0.9999999980591062,-0.051081709974065304,2.300462384237116e-09
VisualCogB_Task-2,revision_v3,u0 common,1.0000003221881413,-0.8778321111953642,3.3919874229322974e-07
VisualCogB_Task-2,revision_v3,u1 lateral,5.712612494197012,0.6908593291203665,6.5623394303671825
VisualCogB_Task-2,revision_v3,u2 shape contrast,1.0000004970252327,-0.9720207119190809,5.048725328746581e-07
