条件,F3晚期峰值,F3晚期峰时间(ms),Fz晚期峰值,Fz晚期峰时间(ms),F4晚期峰值,F4晚期峰时间(ms),F4-F3最大差,F4-F3最大差时间(ms)
左提示,0.26035618782043457,442.0,0.2605624198913574,442.0,0.2607688009738922,443.0,0.0016638189554214478,229.0
右提示,0.2607688009738922,443.0,0.2605624198913574,442.0,0.2603561580181122,442.0,-0.0016638189554214478,229.0
