sample,stage,held_out_record,target_feature,model,n_train,n_test,heldout_rmse_standardized,training_aic,training_bic,predictors
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_Fz,Model-F_VHP_plus_Tcandidate,287,100,0.7679994139716508,562.0484783188454,584.0053716134031,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_Fz,Model-F_VHP_gamma_plus_Tcandidate,287,100,0.7123492527307059,550.5971874588427,576.21356296916,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_F4,Model-0_V,287,100,1.0779353204347484,812.8068529957889,823.7852996430677,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_F4,Model-0_VplusGamma,287,100,1.084981880458359,814.7382147452694,829.3761436083079,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_F4,Model-A1_no_H,287,100,1.0412945852539155,810.840401335143,825.4783301981815,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_F4,Model-A2_no_P,287,100,0.9172153359085441,620.2719527031896,634.9098815662281,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_F4,Model-A3_no_T,287,100,0.8973056846351808,621.7497330438916,640.0471441226897,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_F4,Model-F_VHP_plus_Tcandidate,287,100,0.8961233560714519,623.6584772184523,645.61537051301,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_theta_power_F4,Model-F_VHP_gamma_plus_Tcandidate,287,100,0.9170271034211004,624.3749893125537,649.991364822871,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F3,Model-0_V,287,100,1.320346806979111,820.362344119493,831.3407907667718,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F3,Model-0_VplusGamma,287,100,1.2660981649371557,799.6751168834335,814.313045746472,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F3,Model-A1_no_H,287,100,1.1676069754675822,778.6412056532564,793.2791345162949,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F3,Model-A2_no_P,287,100,1.2065847732310686,781.3593708855683,795.9972997486068,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F3,Model-A3_no_T,287,100,1.0641006884753816,742.8761818239453,761.1735929027434,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F3,Model-F_VHP_plus_Tcandidate,287,100,1.0686677663748165,738.6514132474364,760.6083065419941,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F3,Model-F_VHP_gamma_plus_Tcandidate,287,100,1.1273684734525797,732.4415224684117,758.057897978729,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_Fz,Model-0_V,287,100,0.8252299810833431,820.0788313033015,831.0572779505803,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_Fz,Model-0_VplusGamma,287,100,0.9448066569861514,804.7501116399291,819.3880405029676,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_Fz,Model-A1_no_H,287,100,0.8331985579551395,805.9947072567442,820.6326361197827,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_Fz,Model-A2_no_P,287,100,0.7387781699869107,785.9678648123712,800.6057936754097,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_Fz,Model-A3_no_T,287,100,0.7483990166645687,775.0878271899536,793.3852382687517,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_Fz,Model-F_VHP_plus_Tcandidate,287,100,0.7456298980067657,774.8727730751299,796.8296663696876,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_Fz,Model-F_VHP_gamma_plus_Tcandidate,287,100,0.8486259338938718,770.8576949157277,796.474070426045,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F4,Model-0_V,287,100,1.4244834973584672,820.4055252206884,831.3839718679673,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F4,Model-0_VplusGamma,287,100,1.2745548886317783,819.2311557604726,833.8690846235111,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F4,Model-A1_no_H,287,100,1.2903029590269264,816.3089139294893,830.9468427925278,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F4,Model-A2_no_P,287,100,1.3662688515123005,764.5964395280976,779.2343683911361,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F4,Model-A3_no_T,287,100,1.27216640143567,763.1735670234585,781.4709781022566,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F4,Model-F_VHP_plus_Tcandidate,287,100,1.3366562122934178,753.9403474083462,775.8972407029039,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_alpha_power_F4,Model-F_VHP_gamma_plus_Tcandidate,287,100,1.3551170708768854,755.8758196703405,781.4921951806579,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F3,Model-0_V,287,100,1.7939891314895187,812.331579439544,823.3100260868229,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F3,Model-0_VplusGamma,287,100,1.793166862809326,664.4815516988502,679.1194805618887,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F3,Model-A1_no_H,287,100,2.1768164322931853,715.7858219735728,730.4237508366112,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F3,Model-A2_no_P,287,100,1.7769309595100098,811.8624055279553,826.5003343909938,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F3,Model-A3_no_T,287,100,2.168707533039816,717.5665503480116,735.8639614268096,V;H;P
