analysis_variant,target_offset_s,n_qc_pass_trials,valid_record_folds,mean_accuracy,mean_balanced_accuracy,mean_auc,mean_macro_f1
target_offset_2.0s,2.0,395,4,0.5187360614348833,0.5200764680702918,0.5498360013404253,0.5069895404367216
target_offset_2.1s,2.1,396,4,0.5456122448979592,0.5411043907264473,0.5565211710065914,0.5310369564114695
target_offset_2.2s,2.2,396,4,0.528061224489796,0.5224995399195834,0.5256555984691247,0.5091665572949008
target_offset_2.3s,2.3,396,4,0.4979081632653061,0.4927362832026618,0.5069910605950037,0.4851418067098528
target_offset_2.4s,2.4,396,4,0.4901020408163266,0.48297107158870034,0.47266831913798146,0.4718826432705222
