Task,Dataset,N_trials,N_left,N_right,best_window_start_ms,best_window_end_ms,best_window_center_ms_from_onset,best_window_center_ms_from_offset,best_signed_AUC,best_AUC_discriminability,best_window_global_p,max_AUC_onset_ref_250_500,max_AUC_offset_ref_450_700,max_AUC_outside_onset_ref,any_FWER_significant_window
Task1,VisualCogA_Task-1,54,29,25,0.0,100.0,50.0,-150.00000000000003,0.7344285714285714,0.7344285714285714,0.645,0.7209523809523809,0.6320476190476191,0.7344285714285714,0
Task1,VisualCogA_Task-2,80,45,35,1100.0,1200.0000000000002,1150.0000000000002,950.0000000000002,0.3115376984126984,0.6884623015873016,0.97,0.6076325757575758,0.6283757215007215,0.6884623015873016,0
Task2,VisualCogB_Task-1,83,41,42,2100.0,2200.0,2150.0000000000005,1950.0000000000005,0.3061593961593962,0.6938406038406038,0.95,0.5980552780552781,0.6148329448329448,0.6938406038406038,0
Task2,VisualCogB_Task-2,80,37,43,900.0,1000.0,950.0,750.0,0.627150974025974,0.627150974025974,1.0,0.5800198412698412,0.6116251803751804,0.627150974025974,0
