evaluation_scope,dataset,task,n_left_trials,n_right_trials,difference_rmse,difference_nrmse_by_observed_rms,difference_waveform_correlation,observed_difference_rms,predicted_difference_rms,F3_difference_correlation,Fz_difference_correlation,F4_difference_correlation
IN_SAMPLE_TRAINING_FIT_NOT_VALIDATION,VisualCogA_Task-1,Task1,29,25,24.34794576010234,1.2297509751846536,-0.3132324087245152,19.799086360916583,10.23139964553278,-0.14310036600610052,-0.07989900963621747,0.2018795619042123
IN_SAMPLE_TRAINING_FIT_NOT_VALIDATION,VisualCogA_Task-2,Task1,45,35,10.655879236288106,1.0997755042779458,0.49561162456825747,9.689140369865022,10.23139964553278,0.7469156521241641,-0.3943455719611393,-0.7166974204715213
IN_SAMPLE_TRAINING_FIT_NOT_VALIDATION,VisualCogB_Task-1,Task2,41,42,14.342334365000333,0.9878099331511047,0.43809060032409425,14.519325918548336,10.23139964553278,0.6517434939994886,-0.12523376717164922,-0.2681759657168018
IN_SAMPLE_TRAINING_FIT_NOT_VALIDATION,VisualCogB_Task-2,Task2,37,43,50.88450724546248,1.0156243687206767,0.03806307396922876,50.10169981403533,10.23139964553278,-0.5019684412370718,0.15954663750967613,0.5276656064722586
