record,n_trials,correct,accuracy,balanced_accuracy,recall_left,recall_right,unweighted_correct,unweighted_accuracy,unweighted_balanced_accuracy,unweighted_recall_left,unweighted_recall_right,most_selected_template_record,scope
VisualCogA_Task-1,54,28,0.5185185185185185,0.5213793103448277,0.4827586206896552,0.56,27,0.5,0.48758620689655174,0.6551724137931034,0.32,VisualCogB_Task-1,highest weighted similarity among four region x two cue templates
VisualCogA_Task-2,80,37,0.4625,0.4714285714285714,0.4,0.5428571428571428,33,0.4125,0.42380952380952375,0.3333333333333333,0.5142857142857142,VisualCogB_Task-1,highest weighted similarity among four region x two cue templates
VisualCogB_Task-1,83,35,0.42168674698795183,0.42189314750290363,0.43902439024390244,0.40476190476190477,34,0.40963855421686746,0.41114982578397213,0.5365853658536586,0.2857142857142857,VisualCogB_Task-1,highest weighted similarity among four region x two cue templates
VisualCogB_Task-2,80,49,0.6125,0.6074795725958517,0.5405405405405406,0.6744186046511628,46,0.575,0.5725958516656191,0.5405405405405406,0.6046511627906976,VisualCogB_Task-1,highest weighted similarity among four region x two cue templates
pooled_trials,297,149,0.5016835016835017,0.5026769509981851,0.4605263157894737,0.5448275862068965,140,0.4713804713804714,0.4706896551724138,0.5,0.4413793103448276,see trial scores,pooled highest weighted similarity; all-trial window-selection leakage
