task,record,fold,clean_trial_index_1based,cue_true,prediction,region_channel,region_start_ms,region_end_exclusive_ms,region_valid_points,total_curve_points,region_weight,weighted_loss_left,weighted_loss_right,residual_loss_left,residual_loss_right,empirical_curve_loss_left,empirical_curve_loss_right,algebraic_cancellation_max_abs_error,correct,window_source
Task1,VisualCogA_Task-1,1,1,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.32827466956017826,1.2270205910301235,7.802836376468853,29.165335586792935,7.802836376468852,29.165335586792935,8.881784197001252e-16,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,2,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.4422443395031525,0.540180068904172,10.51180776203647,12.839664714722243,10.51180776203647,12.839664714722243,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,3,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.6362085801544027,1.6186329885617272,15.122188559054651,38.473661035813365,15.122188559054651,38.473661035813365,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,4,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,4.336661134272314,5.319085542679639,103.07909926847267,126.43057174523142,103.07909926847267,126.43057174523142,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,5,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.6902182135861599,1.672642621993485,16.405955999855646,39.75742847661437,16.405955999855646,39.757428476614365,7.105427357601002e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,6,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.8354269395382337,1.8178513479455585,19.857455716716476,43.208928193475195,19.857455716716476,43.20892819347519,7.105427357601002e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,7,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.8267146515035726,0.21192092744122584,19.65037133189261,5.037197429179907,19.65037133189261,5.037197429179907,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,8,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.7106708850031918,0.30620723254384036,16.892100266614328,7.278310373542052,16.89210026661433,7.278310373542054,3.552713678800501e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,9,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,1.3861331847638554,2.3685575931711806,32.94731954554087,56.2987920222996,32.94731954554087,56.2987920222996,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,10,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.69812612111605,0.33186387807515383,16.59392087883534,7.888149101940194,16.59392087883534,7.888149101940195,8.881784197001252e-16,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,1,11,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.6979143583659569,0.29893173514587107,16.588887441160054,7.105377396928781,16.588887441160054,7.105377396928781,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,12,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.26170948402204064,1.2353054196173996,6.220633120216196,29.36225958936742,6.220633120216196,29.36225958936742,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,13,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.7737701575544744,0.3818369351292295,18.391921437256354,9.075970227302456,18.39192143725635,9.075970227302456,3.552713678800501e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,14,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.6372095835353818,0.4595558217450818,15.145981639417922,10.92328837840233,15.145981639417922,10.92328837840233,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,15,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.6414797117468596,0.45528569353360393,15.24747930229074,10.82179071552951,15.247479302290742,10.82179071552951,1.7763568394002505e-15,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,16,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,1.7519980583745154,0.9825353994860367,41.6436461567481,23.35411064932195,41.6436461567481,23.35411064932195,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,17,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,2.167187296101997,3.2639527013824607,51.51237496119362,77.58164497901387,51.51237496119362,77.58164497901387,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,18,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,1.6506839537989824,0.5539185485185188,39.23548782491427,13.166217807094025,39.23548782491427,13.166217807094021,3.552713678800501e-15,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,19,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,1.8599195563735842,0.7631541510931205,44.20885714764904,18.139587129828787,44.20885714764904,18.139587129828787,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,20,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.17909398521787073,1.024670959284974,4.256926264024774,24.355640493773613,4.256926264024774,24.355640493773613,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,21,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,1.3324671480869323,0.2357017428064687,31.671719135297085,5.602449117476833,31.671719135297085,5.602449117476833,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,2,22,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,1.4152552405922785,0.3184898353118149,33.63952841100108,7.570258393180831,33.63952841100108,7.570258393180831,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,23,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.3161557719613382,0.5916691898739519,7.514779502773346,14.063521513157779,7.5147795027733455,14.06352151315778,1.7763568394002505e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,24,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.37413366180307345,0.3347529543630402,8.892869345934592,7.956820222936878,8.892869345934596,7.95682022293688,3.552713678800501e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,25,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.5473074122103754,0.1632977457183834,13.009076182538923,3.881461802075421,13.009076182538923,3.881461802075421,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,26,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,4.399881167485188,3.7832475744425698,104.58179082714793,89.924884654058,104.58179082714793,89.924884654058,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,27,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.5202299111828602,0.12466343847081057,12.36546481196183,2.9631540374984975,12.36546481196183,2.963154037498498,4.440892098500626e-16,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,28,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,1.1686407517612758,0.5520071587186578,27.777691714941092,13.120785541851175,27.777691714941092,13.120785541851175,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,29,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.30505872767663583,0.32225157971384644,7.251011296313882,7.65967216396758,7.251011296313885,7.659672163967583,2.6645352591003757e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,30,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.9500087315201273,1.566642324562745,22.580976772286103,37.237882945376015,22.5809767722861,37.237882945376015,3.552713678800501e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,31,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,7.435755479584017,6.819121886541399,176.74218793780472,162.0852817647148,176.74218793780472,162.08528176471478,2.842170943040401e-14,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,32,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,2.071966621759079,1.4553330287164614,49.249052778735035,34.59214660564512,49.249052778735035,34.59214660564512,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,3,33,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,2.2047714239318466,1.5881378308892284,52.40572076884158,37.74881459575166,52.40572076884158,37.74881459575166,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,34,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.53587507322252,0.6978730588061253,12.737338278904515,16.587905782391747,12.737338278904515,16.587905782391747,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,35,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,1.1259658123620937,0.14023887673862317,26.763341232298995,3.333370224018043,26.763341232298995,3.333370224018045,1.7763568394002505e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,36,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.5926200978280439,0.6285653569751352,14.08612386375889,14.940515023485904,14.086123863758889,14.940515023485903,1.7763568394002505e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,37,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.39933362962225516,0.8218518251809238,9.491853196405911,19.53478569083888,9.491853196405911,19.53478569083888,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,38,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,2.086717522885114,0.8655320680819344,49.59967035165386,20.573031464409056,49.59967035165385,20.57303146440906,1.4210854715202004e-14,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,39,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.4795107578881442,0.7471742032174518,11.397601860572042,17.75975606109174,11.397601860572042,17.75975606109174,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,40,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.4983165628928176,0.7534550660971335,11.84460137952928,17.90904734030879,11.844601379529278,17.909047340308796,7.105427357601002e-15,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,41,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.20877848739995983,1.1028435297135997,4.962504046660584,26.213742360115564,4.962504046660583,26.213742360115564,8.881784197001252e-16,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,42,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,2.421133865894683,3.6423193206978617,57.54848958165054,86.57512846889533,57.54848958165056,86.57512846889531,1.4210854715202004e-14,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,43,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,2.21247508274593,3.4336605375491085,52.58883081296095,81.61546970020574,52.58883081296095,81.61546970020572,1.4210854715202004e-14,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,4,44,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,1.2512631862394572,2.4724486410426363,29.74156342676864,58.76820231401343,29.741563426768643,58.76820231401343,3.552713678800501e-15,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,45,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.8945036488413477,0.16327772599909796,21.261663653228958,3.88098594874779,21.261663653228958,3.8809859487477913,1.3322676295501878e-15,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,46,left,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.8846467218697954,0.2292866734221115,21.027372081366675,5.4499678528794195,21.027372081366675,5.449967852879419,8.881784197001252e-16,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,47,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.6393935571045931,0.34216975426360113,15.197893011178405,8.13311185134252,15.197893011178405,8.133111851342521,1.7763568394002505e-15,1,14 exploratory all-trial search; window-selection leakage
