record,original_trial_index,correct_response_side,truth_source,authoritative_omission
VisualCogA_Task-2,63,,,
VisualCogA_Task-2,64,,,
VisualCogA_Task-2,65,,,
VisualCogA_Task-2,66,,,
VisualCogA_Task-2,67,,,
VisualCogA_Task-2,68,,,
VisualCogA_Task-2,69,,,
VisualCogA_Task-2,70,,,
VisualCogA_Task-2,71,,,
VisualCogA_Task-2,72,,,
VisualCogA_Task-2,73,,,
VisualCogA_Task-2,74,,,
VisualCogA_Task-2,75,,,
VisualCogA_Task-2,76,,,
VisualCogA_Task-2,77,,,
VisualCogA_Task-2,78,,,
VisualCogA_Task-2,79,,,
VisualCogA_Task-2,80,,,
VisualCogA_Task-2,81,,,
VisualCogA_Task-2,82,,,
VisualCogA_Task-2,83,,,
VisualCogA_Task-2,84,,,
VisualCogA_Task-2,85,,,
VisualCogA_Task-2,86,,,
VisualCogA_Task-2,87,,,
VisualCogA_Task-2,88,,,
VisualCogA_Task-2,89,,,
VisualCogA_Task-2,90,,,
VisualCogA_Task-2,91,,,
VisualCogA_Task-2,92,,,
VisualCogA_Task-2,93,,,
VisualCogA_Task-2,94,,,
VisualCogA_Task-2,95,,,
VisualCogA_Task-2,96,,,
VisualCogA_Task-2,97,,,
VisualCogA_Task-2,98,,,
VisualCogA_Task-2,99,,,
VisualCogB_Task-1,0,,,
VisualCogB_Task-1,1,,,
VisualCogB_Task-1,2,,,
VisualCogB_Task-1,3,,,
VisualCogB_Task-1,4,,,
VisualCogB_Task-1,5,,,
VisualCogB_Task-1,6,,,
VisualCogB_Task-1,7,,,
VisualCogB_Task-1,8,,,
VisualCogB_Task-1,9,,,
VisualCogB_Task-1,10,,,
VisualCogB_Task-1,11,,,
VisualCogB_Task-1,12,,,
VisualCogB_Task-1,13,,,
VisualCogB_Task-1,14,,,
VisualCogB_Task-1,15,,,
VisualCogB_Task-1,16,,,
VisualCogB_Task-1,17,,,
VisualCogB_Task-1,18,,,
VisualCogB_Task-1,19,,,
VisualCogB_Task-1,20,,,
VisualCogB_Task-1,21,,,
VisualCogB_Task-1,22,,,
VisualCogB_Task-1,23,,,
VisualCogB_Task-1,24,,,
VisualCogB_Task-1,25,,,
VisualCogB_Task-1,26,,,
VisualCogB_Task-1,27,,,
VisualCogB_Task-1,28,,,
VisualCogB_Task-1,29,,,
VisualCogB_Task-1,30,,,
VisualCogB_Task-1,31,,,
VisualCogB_Task-1,32,,,
VisualCogB_Task-1,33,,,
VisualCogB_Task-1,34,,,
VisualCogB_Task-1,35,,,
VisualCogB_Task-1,36,,,
VisualCogB_Task-1,37,,,
VisualCogB_Task-1,38,,,
VisualCogB_Task-1,39,,,
VisualCogB_Task-1,40,,,
VisualCogB_Task-1,41,,,
VisualCogB_Task-1,42,,,
VisualCogB_Task-1,43,,,
VisualCogB_Task-1,44,,,
VisualCogB_Task-1,45,,,
VisualCogB_Task-1,46,,,
VisualCogB_Task-1,47,,,
VisualCogB_Task-1,48,,,
