heldout_record,scale,training_full_curve_r,training_sim_peak_boundary_cases,selected_unconstrained,selected_boundary_constrained,reference_scale
VisualCogB_Task-1,0.85,0.18831894070477043,6,False,False,1.5
VisualCogB_Task-1,0.9,0.20952266531001873,6,False,False,1.5
VisualCogB_Task-1,0.95,0.23020807517893585,6,False,False,1.5
VisualCogB_Task-1,1.0,0.24584078025764944,6,False,False,1.5
VisualCogB_Task-1,1.05,0.2600251570861788,6,False,False,1.5
VisualCogB_Task-1,1.1,0.27536730788989033,0,False,False,1.5
VisualCogB_Task-1,1.15,0.28692228004755155,0,False,False,1.5
VisualCogB_Task-1,1.2,0.29851968070507434,0,False,False,1.5
VisualCogB_Task-1,1.25,0.3081014908546265,0,False,False,1.5
VisualCogB_Task-1,1.3,0.31779462377369344,0,False,False,1.5
VisualCogB_Task-1,1.35,0.3274521740659211,0,False,False,1.5
VisualCogB_Task-1,1.4,0.3347650793355197,0,False,False,1.5
VisualCogB_Task-1,1.45,0.3415378278174431,0,False,False,1.5
VisualCogB_Task-1,1.5,0.34913064518270254,0,False,False,1.5
VisualCogB_Task-1,1.55,0.3555120518300862,0,False,False,1.5
VisualCogB_Task-1,1.6,0.3608376259712199,0,False,False,1.5
VisualCogB_Task-1,1.65,0.3657929603181291,0,False,True,1.5
VisualCogB_Task-1,1.7,0.3709092991806567,1,False,False,1.5
VisualCogB_Task-1,1.75,0.3760931701544828,1,False,False,1.5
VisualCogB_Task-1,1.8,0.3799624085170196,4,False,False,1.5
VisualCogB_Task-1,1.85,0.38352628265402594,4,False,False,1.5
VisualCogB_Task-1,1.9,0.3875474026026158,4,False,False,1.5
VisualCogB_Task-1,1.95,0.3908039024020375,10,False,False,1.5
VisualCogB_Task-1,2.0,0.39340458299182707,10,False,False,1.5
VisualCogB_Task-1,2.05,0.3957242448210267,10,False,False,1.5
VisualCogB_Task-1,2.1,0.39801035944277724,10,False,False,1.5
VisualCogB_Task-1,2.15,0.4001863499635812,10,False,False,1.5
VisualCogB_Task-1,2.2,0.4016047146160579,10,False,False,1.5
VisualCogB_Task-1,2.25,0.4027659097970715,10,False,False,1.5
VisualCogB_Task-1,2.3,0.4037796177583999,10,False,False,1.5
VisualCogB_Task-1,2.35,0.4045868846446076,10,False,False,1.5
VisualCogB_Task-1,2.4,0.4049395806794222,10,False,False,1.5
VisualCogB_Task-1,2.45,0.4050653570601796,10,True,False,1.5
VisualCogB_Task-1,2.5,0.40496363938844676,10,False,False,1.5
VisualCogB_Task-2,0.5,-0.004817996162273537,9,False,False,1.5
VisualCogB_Task-2,0.55,0.028287136350828357,9,False,False,1.5
VisualCogB_Task-2,0.6,0.054118851087709745,9,False,False,1.5
VisualCogB_Task-2,0.65,0.07739478621164915,9,False,False,1.5
VisualCogB_Task-2,0.7,0.10164975386146807,9,False,False,1.5
VisualCogB_Task-2,0.75,0.1216952357309838,9,False,False,1.5
VisualCogB_Task-2,0.8,0.13831602403572976,8,False,False,1.5
VisualCogB_Task-2,0.85,0.15336379462918429,6,False,False,1.5
VisualCogB_Task-2,0.9,0.16822529213272672,6,False,False,1.5
VisualCogB_Task-2,0.95,0.18280962744339424,6,False,False,1.5
VisualCogB_Task-2,1.0,0.19392715417058018,6,False,False,1.5
VisualCogB_Task-2,1.05,0.20406601061191362,6,False,False,1.5
VisualCogB_Task-2,1.1,0.21509890345119834,0,False,False,1.5
VisualCogB_Task-2,1.15,0.22341630239003604,0,False,False,1.5
VisualCogB_Task-2,1.2,0.2317794917853898,0,False,False,1.5
VisualCogB_Task-2,1.25,0.23866916447897477,0,False,False,1.5
VisualCogB_Task-2,1.3,0.24563640326415484,0,False,False,1.5
VisualCogB_Task-2,1.35,0.25257474689110687,0,False,False,1.5
VisualCogB_Task-2,1.4,0.25778254535275086,0,False,False,1.5
VisualCogB_Task-2,1.45,0.26259310495575716,0,False,False,1.5
VisualCogB_Task-2,1.5,0.2679958072751995,0,False,False,1.5
VisualCogB_Task-2,1.55,0.272511623153701,0,False,False,1.5
VisualCogB_Task-2,1.6,0.27627724114881796,0,False,False,1.5
VisualCogB_Task-2,1.65,0.27978546392033066,0,False,True,1.5
VisualCogB_Task-2,1.7,0.2834116440285716,1,False,False,1.5
VisualCogB_Task-2,1.75,0.28710157456747437,1,False,False,1.5
VisualCogB_Task-2,1.8,0.2898660428344776,3,False,False,1.5
VisualCogB_Task-2,1.85,0.2924245782187787,3,False,False,1.5
VisualCogB_Task-2,1.9,0.2953199735065172,3,False,False,1.5
VisualCogB_Task-2,1.95,0.2976729030263285,9,False,False,1.5
VisualCogB_Task-2,2.0,0.29957726921382877,9,False,False,1.5
VisualCogB_Task-2,2.05,0.3012913055861272,9,False,False,1.5
VisualCogB_Task-2,2.1,0.30297965924267717,9,False,False,1.5
VisualCogB_Task-2,2.15,0.3046034872526742,9,False,False,1.5
VisualCogB_Task-2,2.2,0.30570316642630485,9,False,False,1.5
VisualCogB_Task-2,2.25,0.3066308813812193,9,False,False,1.5
VisualCogB_Task-2,2.3,0.30744793441174506,9,False,False,1.5
VisualCogB_Task-2,2.35,0.3081339461246209,9,False,False,1.5
VisualCogB_Task-2,2.4,0.30852606370059216,9,False,False,1.5
VisualCogB_Task-2,2.45,0.30875140378265453,9,False,False,1.5
VisualCogB_Task-2,2.5,0.3088555854591544,9,True,False,1.5
