dataset,task,stage,condition,n_trials,association_time_scale,mean_full_curve_r,f3_full_curve_r,fz_full_curve_r,f4_full_curve_r,fz_sim_late_peak_ms,fz_real_late_peak_ms,fz_peak_abs_error_ms,fz_sim_peak_at_window_edge,fz_real_peak_at_window_edge,fz_sim_late_peak,fz_real_late_peak,late_topography_cosine,fit_role,cv_unconstrained_scale,cv_boundary_constrained_scale
VisualCogA_Task-1,Task1,Stage1,left,29,1.5,-0.40991378822011354,-0.9376949967755893,0.6190953737846282,-0.9111417416693794,570.3125,632.8125,62.5,False,False,0.24792582169175148,6.802440084527179,-0.7383154303617949,fixed_baseline,2.5,1.65
VisualCogA_Task-1,Task1,Stage1,left,29,2.5,-0.3884573242014442,-0.9380833898171158,0.6196426904805493,-0.8469312732677661,695.3125,632.8125,62.5,True,False,0.2125028008595109,6.802440084527179,-0.7385164886910456,unconstrained_fullcurve,2.5,1.65
VisualCogA_Task-1,Task1,Stage1,left,29,1.65,-0.41996527366614034,-0.9539820886979645,0.6122044294378125,-0.9181181617382689,609.375,632.8125,23.4375,False,False,0.24413725174963474,6.802440084527179,-0.7383346559008143,boundary_constrained_fullcurve,2.5,1.65
VisualCogA_Task-1,Task1,Stage1,right,25,1.5,0.17674813563761352,-0.3407744790856947,0.5665862555729173,0.30443263042561797,570.3125,695.3125,125.0,False,True,0.24792582169175148,3.215480959816621,-0.25755232730551975,fixed_baseline,2.5,1.65
VisualCogA_Task-1,Task1,Stage1,right,25,2.5,0.017968713192343694,-0.6231047780577506,0.438244552866736,0.2387663647680456,695.3125,695.3125,0.0,True,True,0.2125027859583497,3.215480959816621,-0.2598517235251335,unconstrained_fullcurve,2.5,1.65
VisualCogA_Task-1,Task1,Stage1,right,25,1.65,0.14415396081844878,-0.3979557112039506,0.5443999864180953,0.2860176072412017,609.375,695.3125,85.9375,False,True,0.2441372610628605,3.215480959816621,-0.25777008174569777,boundary_constrained_fullcurve,2.5,1.65
VisualCogA_Task-1,Task1,Stage2,dots,54,1.5,-0.3758084071208802,-0.7251489697173251,0.17700150687635852,-0.579277758521674,432.81249999999983,424.99999999999983,7.8125,False,False,0.2586119621992111,8.46358231933206,-0.48336542408042865,fixed_baseline,2.5,1.65
VisualCogA_Task-1,Task1,Stage2,dots,54,2.5,-0.5435911416357608,-0.8578302301414359,-0.0001243764157488807,-0.7728188183500977,495.31249999999983,424.99999999999983,70.3125,True,False,0.2246835166588425,8.46358231933206,-0.48336542412792716,unconstrained_fullcurve,2.5,1.65
VisualCogA_Task-1,Task1,Stage2,dots,54,1.65,-0.4118629790484303,-0.7645724946642806,0.1532870205083618,-0.624303462989372,464.06249999999983,424.99999999999983,39.0625,False,False,0.2564811185002327,8.46358231933206,-0.4833654256603349,boundary_constrained_fullcurve,2.5,1.65
VisualCogA_Task-2,Task1,Stage1,left,45,1.5,0.7371608498513943,0.7689732236209482,0.7225211526522753,0.719988173280959,570.3125,695.3125,125.0,False,True,0.24792582169175148,110.62895880437603,0.9930902378671331,fixed_baseline,2.5,1.65
VisualCogA_Task-2,Task1,Stage1,left,45,2.5,0.952675273025514,0.9667164058132705,0.946974720295175,0.9443346929680968,695.3125,695.3125,0.0,True,True,0.2125028008595109,110.62895880437603,0.9932815929836004,unconstrained_fullcurve,2.5,1.65
VisualCogA_Task-2,Task1,Stage1,left,45,1.65,0.7873204682382413,0.8176687510507639,0.7738445626896712,0.7704480909742891,609.375,695.3125,85.9375,False,True,0.24413725174963474,110.62895880437603,0.9931086120930546,boundary_constrained_fullcurve,2.5,1.65
VisualCogA_Task-2,Task1,Stage1,right,35,1.5,0.7540892870209709,0.8204469766756268,0.7126433403771149,0.7291775440101708,570.3125,695.3125,125.0,False,True,0.24792582169175148,101.84570588094815,0.9903548405071395,fixed_baseline,2.5,1.65
VisualCogA_Task-2,Task1,Stage1,right,35,2.5,0.9503806897096583,0.973353547490988,0.9357251053799053,0.9420634162580814,695.3125,695.3125,0.0,True,True,0.2125027859583497,101.84570588094815,0.9903785869177054,unconstrained_fullcurve,2.5,1.65
VisualCogA_Task-2,Task1,Stage1,right,35,1.65,0.7994734477075888,0.8598606801212713,0.7619869279553886,0.7765727350461067,609.375,695.3125,85.9375,False,True,0.2441372610628605,101.84570588094815,0.9903573460785062,boundary_constrained_fullcurve,2.5,1.65
VisualCogA_Task-2,Task1,Stage2,dots,80,1.5,0.8757403897650434,0.9339559822547289,0.8356622093656142,0.8576029776747871,432.81249999999983,440.62499999999983,7.8125,False,False,0.2586119621992111,22.17283503253876,0.9670659020757884,fixed_baseline,2.5,1.65
VisualCogA_Task-2,Task1,Stage2,dots,80,2.5,0.915169757742408,0.8595499224100178,0.9299293266532979,0.9560300241639083,495.31249999999983,440.62499999999983,54.6875,True,False,0.2246835166588425,22.17283503253876,0.9670659020473663,unconstrained_fullcurve,2.5,1.65
VisualCogA_Task-2,Task1,Stage2,dots,80,1.65,0.9031235814509048,0.9413780474204233,0.8724421131887109,0.8955505837435803,464.06249999999983,440.62499999999983,23.4375,False,False,0.2564811185002327,22.17283503253876,0.9670659023185935,boundary_constrained_fullcurve,2.5,1.65
VisualCogB_Task-1,Task2,Stage1,left,41,1.5,0.6573462391629308,0.6046908193697519,0.6388928902363918,0.7284550078826485,570.3125,664.0625,93.75,False,False,0.24792582169175148,24.748833951616017,0.9062146929670597,fixed_baseline,2.45,1.65
VisualCogB_Task-1,Task2,Stage1,left,41,2.45,0.8570083321764551,0.8724878079035906,0.778368105949551,0.9201690826762234,695.3125,664.0625,31.25,True,False,0.21534747537225485,24.748833951616017,0.9069378245907854,unconstrained_fullcurve,2.45,1.65
VisualCogB_Task-1,Task2,Stage1,left,41,1.65,0.7024465084632313,0.6632780187925404,0.6720745007368949,0.7719870058602587,609.375,664.0625,54.6875,False,False,0.24413725174963474,24.748833951616017,0.9062873011367159,boundary_constrained_fullcurve,2.45,1.65
VisualCogB_Task-1,Task2,Stage1,right,42,1.5,0.4562186506279305,0.42781828701166374,0.5391316917149865,0.40170597315714135,570.3125,671.875,101.5625,False,False,0.24792582169175148,30.893519714900787,0.8776427288209321,fixed_baseline,2.45,1.65
VisualCogB_Task-1,Task2,Stage1,right,42,2.45,0.725697080364279,0.7327420164317202,0.7515953703644794,0.6927538542966375,695.3125,671.875,23.4375,True,False,0.21534744556993246,30.893519714900787,0.8777291317385162,unconstrained_fullcurve,2.45,1.65
