方向(°),左提示平均响应,右提示平均响应,左提示-右提示,绝对差
0,0.02219495177268982,0.02219495363533497,-1.862645149230957e-09,1.862645149230957e-09
45,0.018823744729161263,0.018823744729161263,0.0,0.0
90,0.017956217750906944,0.017956215888261795,1.862645149230957e-09,1.862645149230957e-09
135,0.018823746591806412,0.018823744729161263,1.862645149230957e-09,1.862645149230957e-09
