比较类型,条件,真实Trial数,F3波形相关,Fz波形相关,F4波形相关,平均波形相关,F3模拟晚期峰值,F3真实晚期峰值,F3模拟峰时间(ms),F3真实峰时间(ms),F3峰时间差(ms),Fz模拟晚期峰值,Fz真实晚期峰值,Fz模拟峰时间(ms),Fz真实峰时间(ms),Fz峰时间差(ms),F4模拟晚期峰值,F4真实晚期峰值,F4模拟峰时间(ms),F4真实峰时间(ms),F4峰时间差(ms),晚期空间余弦相似度,模拟晚期F4-F3均值,真实晚期F4-F3均值
单条件,左提示,74,0.7682799378322699,0.8934110339298731,0.8787218605901816,0.8468042774507749,0.26035618782043457,16.926841735839844,442.0,500.0,58.0,0.2605624198913574,22.096027374267578,442.0,500.0,58.0,0.2607688009738922,16.48402214050293,443.0,500.0,57.0,0.9627618510310527,0.00044851236609348737,1.836391806602478
单条件,右提示,60,0.9538574949349191,0.9269055455713494,0.959192621556683,0.9466518873543172,0.2607688009738922,30.488189697265625,443.0,500.0,57.0,0.2605624198913574,17.857255935668945,442.0,359.0,83.0,0.2603561580181122,27.29268455505371,442.0,500.0,58.0,0.9774451731815589,-0.0004485111193827899,-0.16656391322612762
条件差异,左提示-右提示,,0.46374269656758027,-0.12047174011483812,-0.34453454498130676,-0.0004211961761882062,,,,,,,,,,,,,,,,,,
