条件,晚期峰窗(ms),F3晚期峰值,F3晚期峰时间(ms),Fz晚期峰值,Fz晚期峰时间(ms),F4晚期峰值,F4晚期峰时间(ms),F4-F3全时段最大差,F4-F3全时段最大差时间(ms),F4-F3晚期窗最大差,F4-F3晚期窗最大差时间(ms)
左提示,450–700,0.2476535588502884,569.0,0.24792930483818054,568.0,0.24820557236671448,567.0,0.0013336613774299622,230.0,0.0009158700704574585,450.0
右提示,450–700,0.24820557236671448,567.0,0.24792931973934174,568.0,0.2476535588502884,569.0,-0.001333676278591156,230.0,-0.0009158551692962646,450.0
