Trial,CueType,ClippedDrop,SQI,RiemannDrop,FinalDrop,RP1_All_1_7_Riemann,RP2_F3F4_16_24_Trace,RP3_All_1_24_Riemann
0,-1.0,0,0.27052111519435496,0,0,3.359023119855457,8.115360880411501,3.9040656048319637
1,-1.0,1,,0,1,,,
2,-1.0,0,0.700597070972073,0,0,2.3153496748644766,7.324524790813214,2.672497006979131
3,1.0,0,0.3973157058140781,0,0,2.952149453434048,10.221146388079585,3.5451865321975813
4,-1.0,0,0.5890114773566388,0,0,2.463698331289814,9.65024475138695,3.283413948856963
5,1.0,0,0.6051058324644645,0,0,1.0311809303078907,15.612914223587712,3.0948067063671796
6,1.0,1,,0,1,,,
7,1.0,0,0.43352303660107355,0,0,2.1127363631286866,16.738185727782977,2.9912079499149122
8,1.0,0,0.8761485927144611,0,0,1.5151513677241357,11.850376862043062,2.1659460614511397
9,-1.0,1,,0,1,,,
10,1.0,0,0.7068132231157285,0,0,1.2925715501293147,10.560055857703917,3.91349075607482
11,1.0,0,0.29870320970319464,0,0,2.7063146726009317,15.686708001069572,3.3740588214401437
12,1.0,0,1.0,0,0,1.4892023053803265,8.649222748685187,2.0908147106273494
13,1.0,1,,0,1,,,
14,1.0,1,,0,1,,,
15,1.0,1,,0,1,,,
16,-1.0,0,1.0,0,0,1.2442327632454513,5.729232062655553,3.0079147959224906
17,1.0,0,0.5874777450204304,0,0,2.61314418960648,9.722829301361207,1.8636988532626173
18,1.0,0,1.0,0,0,1.4882436830957786,9.253599352540274,2.429093496636204
19,-1.0,1,,0,1,,,
20,1.0,0,0.5320224567964427,0,0,2.7808218199514005,8.117982545596128,2.774378406143967
21,1.0,0,0.48679065392288884,0,0,2.550867447368864,3.299902583182101,3.630514844388886
22,-1.0,1,,0,1,,,
23,-1.0,0,0.9144726412485222,0,0,1.8648144044091415,9.666790683535645,2.6659564853330884
24,-1.0,0,0.7127972563180894,0,0,1.5223464454282813,6.619243610189079,3.914373779161187
25,1.0,0,0.9324653344131406,0,0,1.0851344568833086,10.091561803056335,3.2438754741567495
26,-1.0,0,0.5009780940947023,0,0,1.249834612051761,12.329359240539649,4.350152127599004
27,-1.0,0,0.969623214399677,0,0,1.2282490883404333,10.790693585313258,2.7154890953039073
28,-1.0,0,0.4447449238478333,0,0,1.8672403022206063,15.60021928142098,3.6396084435355007
29,1.0,0,0.24350868654774221,0,0,3.001070373051324,6.22393668160333,4.694944554573909
30,1.0,0,1.0,0,0,1.7025657048457046,7.027156486303747,2.2485614583227993
31,1.0,0,1.0,0,0,1.698392292741069,10.468229179036998,3.0424109039147003
32,1.0,0,0.8093551894359065,0,0,1.9920285218268723,7.841463813202188,3.1863712977053784
33,1.0,0,0.4910563299550152,0,0,2.7299512814192193,5.601090421490612,3.344424110353097
34,-1.0,0,0.6800249756449599,0,0,1.5326297981988777,10.56667850549946,4.008345147030818
35,1.0,0,0.8306891145237814,0,0,1.488749812660428,8.047684986458286,3.5323478213230004
36,-1.0,0,0.5568206917664633,0,0,2.501228422666333,11.720279458884281,2.251263507387715
37,-1.0,0,0.3825168666953993,0,0,1.333404778575696,14.537152555446529,4.496381616827857
38,1.0,0,0.42477932512872973,0,0,1.9804939306056417,17.76862117655557,2.3087538594319343
39,1.0,0,0.7725282923874592,0,0,2.025562385267365,11.237851844205526,1.0233494526890579
40,1.0,0,0.6272166564676508,0,0,1.0778829937024121,11.715389568004856,3.935835507203489
41,-1.0,0,0.6854227635444509,0,0,2.285249955247301,10.883187888330582,3.0648532556084516
42,-1.0,1,,0,1,,,
43,1.0,0,0.6132649358581117,0,0,1.713616490038199,10.838581252195556,4.201335720839682
44,-1.0,0,0.509561614644346,0,0,1.9291801029723266,11.346007436799589,4.224387305880047
45,-1.0,0,0.5519381330936262,0,0,2.132737903263428,14.090139083014227,2.639642521104523
46,1.0,0,0.8282698058558883,0,0,1.775300638156468,7.256136168895164,3.4485864434208175
47,-1.0,0,0.6722484348391404,0,0,1.0367319156711965,14.619570536108817,2.479388196471065
48,1.0,0,0.7775588027225061,0,0,0.9349986641190782,10.84032523369977,3.608476014788072
49,-1.0,1,,0,1,,,
50,-1.0,0,0.6582737331533965,0,0,1.2237650279923038,11.382609608852437,3.894666639488537
51,-1.0,0,0.8442179092386506,0,0,1.9313346800177984,8.169563336940978,3.1706899087841864
52,1.0,0,0.8054353536839778,0,0,2.0795249695310454,6.530209605222954,2.1821546681621737
53,1.0,1,,0,1,,,
54,1.0,0,1.0,0,0,1.4312622077560269,7.333637079804664,3.0693506911479567
55,-1.0,1,,0,1,,,
56,-1.0,1,,0,1,,,
57,-1.0,0,0.3677524236197329,0,0,2.390282084425787,15.422601975233755,3.3845038774895113
58,-1.0,0,0.19608499870230783,1,1,2.4566309717458275,22.75706592200979,3.1049459642971446
59,-1.0,0,0.8039720612107984,0,0,2.0826001173504713,6.985894757081445,2.9039859307103004
60,-1.0,0,1.0,0,0,1.6565169943906908,9.255927206003024,2.2316307592545055
61,1.0,0,0.8125191499439384,0,0,2.052809421384524,10.173060950528651,3.0869249995464734
62,-1.0,0,0.5086757471437989,0,0,1.2304915577989672,17.534165696151433,2.7134932191034995
