condition,correct,heldout_record,predicted_label,score_right_minus_left,trial_index,true_label
right,True,VisualCogA_Task-2,right,0.1500358688385709,1,right
right,True,VisualCogA_Task-2,right,0.13155093398922735,2,right
right,True,VisualCogA_Task-2,right,0.060160884797153695,3,right
right,True,VisualCogA_Task-2,right,0.16967331978871852,4,right
right,True,VisualCogA_Task-2,right,0.43434297812169165,5,right
right,False,VisualCogA_Task-2,left,-0.1574327616230833,6,right
right,True,VisualCogA_Task-2,right,0.2536543101745586,7,right
right,True,VisualCogA_Task-2,right,0.023528439630622663,8,right
right,False,VisualCogA_Task-2,left,-0.2458763625109892,9,right
right,False,VisualCogA_Task-2,left,-0.013745662874102386,10,right
right,True,VisualCogA_Task-2,right,0.1644553560617102,11,right
right,True,VisualCogA_Task-2,right,0.16749948438660658,12,right
right,True,VisualCogA_Task-2,right,0.2219275330622327,13,right
right,True,VisualCogA_Task-2,right,0.020214290839170555,14,right
right,True,VisualCogA_Task-2,right,0.44867884138676745,15,right
right,True,VisualCogA_Task-2,right,0.28409934860771835,16,right
right,False,VisualCogA_Task-2,left,-0.3695628528594239,17,right
right,True,VisualCogA_Task-2,right,0.012707806656398896,18,right
right,True,VisualCogA_Task-2,right,0.16329358735009195,19,right
right,True,VisualCogA_Task-2,right,0.34122943550101437,20,right
right,False,VisualCogA_Task-2,left,-0.22982936066961035,21,right
right,True,VisualCogA_Task-2,right,0.00757487662597367,22,right
right,True,VisualCogA_Task-2,right,0.2704944207159919,23,right
right,True,VisualCogA_Task-2,right,0.013111232386994603,24,right
right,True,VisualCogA_Task-2,right,0.3194565171557632,25,right
right,True,VisualCogA_Task-2,right,0.0402564294170497,26,right
right,False,VisualCogA_Task-2,left,-0.03577822186529038,27,right
right,True,VisualCogA_Task-2,right,0.009742819987807242,28,right
right,True,VisualCogA_Task-2,right,0.18617794851528494,29,right
right,True,VisualCogA_Task-2,right,0.24927697578741384,30,right
right,True,VisualCogA_Task-2,right,0.23703439273087754,31,right
right,True,VisualCogA_Task-2,right,0.04606836701489247,32,right
right,True,VisualCogA_Task-2,right,0.7623467421325864,33,right
right,True,VisualCogA_Task-2,right,0.07593239259405003,34,right
left,True,VisualCogB_Task-1,left,-0.15984513081292492,0,left
left,True,VisualCogB_Task-1,left,-0.05622426095194591,1,left
left,False,VisualCogB_Task-1,right,0.04096403967735177,2,left
left,True,VisualCogB_Task-1,left,-0.07388235941934732,3,left
left,False,VisualCogB_Task-1,right,0.24134441043933003,4,left
left,True,VisualCogB_Task-1,left,-0.07991267808050101,5,left
left,True,VisualCogB_Task-1,left,-0.05777244076163973,6,left
left,True,VisualCogB_Task-1,left,-0.18357234342892093,7,left
left,True,VisualCogB_Task-1,left,-0.08464130960332181,8,left
left,False,VisualCogB_Task-1,right,0.19051408210827114,9,left
left,False,VisualCogB_Task-1,right,0.20887476829808022,10,left
left,True,VisualCogB_Task-1,left,-0.20186272432521501,11,left
left,False,VisualCogB_Task-1,right,0.1049504549441331,12,left
left,False,VisualCogB_Task-1,right,0.10346870683177009,13,left
left,True,VisualCogB_Task-1,left,-0.20324766606464023,14,left
left,False,VisualCogB_Task-1,right,0.33919280613856934,15,left
left,True,VisualCogB_Task-1,left,-0.1721013771222687,16,left
left,True,VisualCogB_Task-1,left,-0.004065248700503255,17,left
left,False,VisualCogB_Task-1,right,0.35829403063442716,18,left
left,True,VisualCogB_Task-1,left,-0.06250363211554122,19,left
left,False,VisualCogB_Task-1,right,0.052388475720560795,20,left
left,True,VisualCogB_Task-1,left,-0.12926051191035492,21,left
