F3_late_mean,F3_late_peak_amplitude,F3_late_peak_status,F3_late_peak_time_ms,F3_late_rms,F4_late_mean,F4_late_peak_amplitude,F4_late_peak_status,F4_late_peak_time_ms,F4_late_rms,Fz_late_mean,Fz_late_peak_amplitude,Fz_late_peak_status,Fz_late_peak_time_ms,Fz_late_rms,amplitude,balanced_accuracy,boundary_flags,channel_corr_mean,channel_correlations,condition,confusion_matrix,difference_rmse,fit_observation_space,fit_status,fit_success,full_sensor_nrmse_by_real_rms,full_sensor_rmse,heldout_record,method,model_F4_minus_F3_rms,model_difference_rms,model_observable_difference_rms,n_ties,n_trials,nrmse_by_real_rms,observable_corr_mean,observable_difference_corr,observable_difference_retained_fraction,observable_mode_correlations,observable_nrmse_by_real_rms,observable_rmse,observed_last_ms,param_g_i,param_tau_a,param_tau_s,real_F4_minus_F3_rms,real_difference_rms,real_difference_u2_rms,real_observable_difference_rms,real_u2_late_rms,real_u2_rms,recall_left,recall_right,rmse,roc_auc,role,stage,status,task,train_records,training_loss,u2_energy_share,u2_unexplained_rms
,,,,,,,,,,,,,,,55.78868574816019,,,0.7371608498513947,"[0.7689732236209486, 0.7225211526522762, 0.7199881732809591]",left,,,u0/u1_observable_subspace,,,0.8647992038840409,56.131296843765135,VisualCogA_Task-2,old_04_baseline,,,,,45,0.8647992038840409,0.296691116577029,,,"[0.7365470450659402, -0.14316481191188216]",0.8638685790801506,68.45448881585443,,,,,,,,,11.828398823815531,8.951725244041016,,,56.131296843765135,,,Stage1,,Task1,,,0.006340341394447927,8.951724862212792
,116.27016601726349,internal_positive_peak,671.875,,,135.70068055106893,truncated_at_window_edge,695.3125,,,101.84570588094815,truncated_at_window_edge,695.3125,,2570.9082086771,,"{""tau_s"": false, ""g_i"": true, ""tau_a"": true}",-0.5174945187697442,"[-0.46432835783219195, -0.5480012572706778, -0.5401539412063628]",right,,,u0/u1_observable_subspace,profile_grid_converged,True,0.9669193660629753,64.03493917568015,VisualCogA_Task-2,revision_fitted,,,,,35,0.9669193660629753,0.015439519079420927,,,"[-0.5211671486874777, 0.5520461868463196]",0.9663636691887616,77.74221818588858,,0.5,160.0,90.45088534219263,,,,,19.183822396300002,14.619005733183144,,,64.03493917568015,,,Stage1,,Task1,"[""VisualCogA_Task-1"", ""VisualCogB_Task-1"", ""VisualCogB_Task-2""]",1219.3962860201423,0.016242801342977203,14.6190057382355
,116.27016601726349,internal_positive_peak,671.875,,,135.70068055106893,truncated_at_window_edge,695.3125,,,101.84570588094815,truncated_at_window_edge,695.3125,,0.0,,,nan,"[NaN, NaN, NaN]",right,,,u0/u1_observable_subspace,,,0.9999999999999998,66.22572824910154,VisualCogA_Task-2,revision_default,,,,,35,0.9999999999999998,nan,,,"[NaN, NaN]",1.0,80.44820047006863,,1.0,80.0,40.0,,,,,19.183822396300002,14.619005733183144,,,66.22572824910154,,,Stage1,,Task1,,,0.016242801342977203,14.619005733183144
,,,,,,,,,,,,,,,55.78868574816019,,,0.7540892870209707,"[0.8204469766756267, 0.7126433403771149, 0.7291775440101709]",right,,,u0/u1_observable_subspace,,,0.8617817661754471,57.072125056765934,VisualCogA_Task-2,old_04_baseline,,,,,35,0.8617817661754471,0.5228471881948824,,,"[0.7559858538343903, 0.2897085225553746]",0.8593131008257809,69.13019260178872,,,,,,,,,19.183822396300002,14.619005733183144,,,57.072125056765934,,,Stage1,,Task1,,,0.016242801342977203,14.619005341150473
,,,,,,,,,,,,,,,2570.9082086771,,,0.146722999363975,"[0.2973168512313759, 0.07089124612353034, 0.07196090073701883]",dots,,,u0/u1_observable_subspace,,,0.5548561169456162,10.835648897315718,VisualCogA_Task-2,frozen_parameter_dots_control,,,,,80,0.5548561169456162,0.1322238399454977,,,"[0.15361999148692582, 0.11082768840406954]",0.5303349416585831,12.447391606297794,,0.5,160.0,90.45088534219263,,,,,7.474944980044307,6.508359649542168,,,10.835648897315718,,,Stage2,,Task1,,,0.037023096653278235,6.508359660976995
,,,,,,,,,,,,,,,,,,,,right_minus_left,,9.177442127077658,u0/u1_observable_subspace,,,,,VisualCogA_Task-2,fitted_lateral_effect,0.7519931981472265,0.8180459896502625,1.0018976303866065,,35,,,0.761936331786946,0.08998654781085097,,,,,,,,13.93139398445588,9.689140369865022,5.806259015871337,11.133860057532992,,,,,,,,Stage1,,Task1,,,,
,41.21240216029827,truncated_at_window_edge,695.3125,,,58.73368480926159,truncated_at_window_edge,695.3125,,,24.748833951616017,internal_positive_peak,664.0625,,9926.81859765134,,"{""tau_s"": false, ""g_i"": true, ""tau_a"": true}",-0.6190986498446466,"[-0.7128597465986218, -0.5375236696255218, -0.6069125333097959]",left,,,u0/u1_observable_subspace,profile_grid_best_candidate_optimizer_not_converged,False,0.9987195967591392,20.429595267769617,VisualCogB_Task-1,revision_fitted,,,,,41,0.9987195967591392,-0.127936770035774,,,"[-0.6515680235628982, 0.3956944834913502]",0.9985604932878144,23.595001327482375,,0.5,160.0,90.86780110886025,,,,,12.320926882450594,11.775267018691583,,,20.429595267769617,,,Stage1,,Task2,"[""VisualCogA_Task-1"", ""VisualCogA_Task-2"", ""VisualCogB_Task-2""]",2949.0225554284743,0.11045563861797919,11.775267008727853
,41.21240216029827,truncated_at_window_edge,695.3125,,,58.73368480926159,truncated_at_window_edge,695.3125,,,24.748833951616017,internal_positive_peak,664.0625,,10263.437857441148,,,-0.6675891810025784,"[-0.6902553908040365, -0.6101824016491428, -0.7023297505545558]",left,,,u0/u1_observable_subspace,,,1.0036185507163338,20.529807226066715,VisualCogB_Task-1,revision_default,,,,,41,1.0036185507163338,-0.3997032629010716,,,"[-0.6960558820236717, -0.10335064377847152]",1.004066959710295,23.725113707675167,,1.0,80.0,40.0,,,,,12.320926882450594,11.775267018691583,,,20.529807226066715,,,Stage1,,Task2,,,0.11045563861797919,11.77526701753092
,,,,,,,,,,,,,,,141.88769043515202,,,0.6573462391629311,"[0.604690819369752, 0.6388928902363923, 0.7284550078826493]",left,,,u0/u1_observable_subspace,,,0.8941955508280008,18.291473655805383,VisualCogB_Task-1,old_04_baseline,,,,,41,0.8941955508280008,0.7111735562234647,,,"[0.6769587303553235, 0.7453883820916059]",0.8801704653428938,20.79756152759242,,,,,,,,,12.320926882450594,11.775267018691583,,,18.291473655805383,,,Stage1,,Task2,,,0.11045563861797919,11.775266218437805
,24.05159395702637,internal_positive_peak,687.5,,,30.94310617586762,internal_positive_peak,679.6875,,,30.893519714900787,internal_positive_peak,671.875,,9926.81859765134,,"{""tau_s"": false, ""g_i"": true, ""tau_a"": true}",-0.5492878598212089,"[-0.6128900558312794, -0.45223666793479833, -0.5827368556975486]",right,,,u0/u1_observable_subspace,profile_grid_best_candidate_optimizer_not_converged,False,1.4838445841804437,19.209947581209654,VisualCogB_Task-1,revision_fitted,,,,,42,1.4838445841804437,-0.1386701835151038,,,"[-0.5601200922184135, 0.28277972518820593]",1.5265579626910653,23.00509962655475,,0.5,160.0,90.86780110886025,,,,,6.669800921897374,6.971157791955574,,,19.209947581209654,,,Stage1,,Task2,"[""VisualCogA_Task-1"", ""VisualCogA_Task-2"", ""VisualCogB_Task-2""]",2949.0225554284743,0.09665248927763985,6.971157763460069
