sample,stage,outer_held_out_record,candidate_order,name,representation,l2,edge_components,shrinkage,inner_mean_balanced_accuracy,inner_held_out_record,n_train,n_validation,accuracy,balanced_accuracy,auc,macro_f1
raw_qc_pass,cue_locked,VisualCogA_Task-1,8,logistic_erp_50ms_l2_0.1,erp_50ms,0.1,0,0.0,0.5407181756241269,VisualCogB_Task-1,189,98,0.5306122448979592,0.5301003344481605,0.5409698996655519,0.5298289528577389
raw_qc_pass,cue_locked,VisualCogA_Task-1,8,logistic_erp_50ms_l2_0.1,erp_50ms,0.1,0,0.0,0.5407181756241269,VisualCogB_Task-2,194,93,0.4731182795698925,0.4743293246993525,0.47409805735430155,0.4669551994385308
raw_qc_pass,cue_locked,VisualCogA_Task-1,9,logistic_erp_50ms_l2_10,erp_50ms,10.0,0,0.0,0.540897595283966,VisualCogA_Task-2,191,96,0.5416666666666666,0.5608465608465608,0.6362433862433863,0.5384615384615384
raw_qc_pass,cue_locked,VisualCogA_Task-1,9,logistic_erp_50ms_l2_10,erp_50ms,10.0,0,0.0,0.540897595283966,VisualCogB_Task-1,189,98,0.5102040816326531,0.512123745819398,0.5217391304347826,0.5102040816326531
raw_qc_pass,cue_locked,VisualCogA_Task-1,9,logistic_erp_50ms_l2_10,erp_50ms,10.0,0,0.0,0.540897595283966,VisualCogB_Task-2,194,93,0.5483870967741935,0.549722479185939,0.5231267345050878,0.5419793621013134
raw_qc_pass,cue_locked,VisualCogA_Task-1,10,logistic_erp_50ms_l2_100,erp_50ms,100.0,0,0.0,0.543635498191465,VisualCogA_Task-2,191,96,0.5208333333333334,0.5634920634920635,0.6097883597883598,0.482903981264637
raw_qc_pass,cue_locked,VisualCogA_Task-1,10,logistic_erp_50ms_l2_100,erp_50ms,100.0,0,0.0,0.543635498191465,VisualCogB_Task-1,189,98,0.5306122448979592,0.5489130434782609,0.5100334448160535,0.4950716845878136
raw_qc_pass,cue_locked,VisualCogA_Task-1,10,logistic_erp_50ms_l2_100,erp_50ms,100.0,0,0.0,0.543635498191465,VisualCogB_Task-2,194,93,0.5161290322580645,0.5185013876040703,0.49213691026827006,0.4926657776700206
raw_qc_pass,cue_locked,VisualCogA_Task-1,11,logistic_erp_50ms_l2_1,erp_50ms,1.0,0,0.0,0.5441957041941624,VisualCogA_Task-2,191,96,0.6041666666666666,0.6137566137566137,0.6569664902998237,0.6041666666666666
raw_qc_pass,cue_locked,VisualCogA_Task-1,11,logistic_erp_50ms_l2_1,erp_50ms,1.0,0,0.0,0.5441957041941624,VisualCogB_Task-1,189,98,0.5306122448979592,0.5338628762541806,0.5079431438127091,0.5304166666666668
raw_qc_pass,cue_locked,VisualCogA_Task-1,11,logistic_erp_50ms_l2_1,erp_50ms,1.0,0,0.0,0.5441957041941624,VisualCogB_Task-2,194,93,0.4838709677419355,0.4849676225716929,0.5041628122109159,0.4789915966386554
raw_qc_pass,cue_locked,VisualCogA_Task-1,12,logistic_spatial_100ms_l2_0.1,spatial_100ms,0.1,0,0.0,0.5501421865899202,VisualCogA_Task-2,191,96,0.6041666666666666,0.6111111111111112,0.6552028218694886,0.6039947894051237
raw_qc_pass,cue_locked,VisualCogA_Task-1,12,logistic_spatial_100ms_l2_0.1,spatial_100ms,0.1,0,0.0,0.5501421865899202,VisualCogB_Task-1,189,98,0.5612244897959183,0.5652173913043479,0.5748327759197325,0.5608129233976029
raw_qc_pass,cue_locked,VisualCogA_Task-1,12,logistic_spatial_100ms_l2_0.1,spatial_100ms,0.1,0,0.0,0.5501421865899202,VisualCogB_Task-2,194,93,0.4731182795698925,0.47409805735430155,0.48334875115633674,0.4691904484566104
raw_qc_pass,cue_locked,VisualCogA_Task-1,13,logistic_spatial_100ms_l2_10,spatial_100ms,10.0,0,0.0,0.5436184614029202,VisualCogA_Task-2,191,96,0.5416666666666666,0.5714285714285714,0.5652557319223986,0.5285714285714286
raw_qc_pass,cue_locked,VisualCogA_Task-1,13,logistic_spatial_100ms_l2_10,spatial_100ms,10.0,0,0.0,0.5436184614029202,VisualCogB_Task-1,189,98,0.5714285714285714,0.584866220735786,0.5472408026755853,0.5564655172413793
raw_qc_pass,cue_locked,VisualCogA_Task-1,13,logistic_spatial_100ms_l2_10,spatial_100ms,10.0,0,0.0,0.5436184614029202,VisualCogB_Task-2,194,93,0.4731182795698925,0.4745605920444034,0.4412580943570768,0.4641975308641975
raw_qc_pass,cue_locked,VisualCogA_Task-1,14,logistic_spatial_100ms_l2_100,spatial_100ms,100.0,0,0.0,0.5111217442006835,VisualCogA_Task-2,191,96,0.46875,0.5224867724867724,0.5881834215167548,0.38731072456513577
raw_qc_pass,cue_locked,VisualCogA_Task-1,14,logistic_spatial_100ms_l2_100,spatial_100ms,100.0,0,0.0,0.5111217442006835,VisualCogB_Task-1,189,98,0.5102040816326531,0.5346989966555185,0.5150501672240803,0.4337987481945113
raw_qc_pass,cue_locked,VisualCogA_Task-1,14,logistic_spatial_100ms_l2_100,spatial_100ms,100.0,0,0.0,0.5111217442006835,VisualCogB_Task-2,194,93,0.4731182795698925,0.4761794634597595,0.46345975948196116,0.42844600526777876
raw_qc_pass,cue_locked,VisualCogA_Task-1,15,logistic_spatial_100ms_l2_1,spatial_100ms,1.0,0,0.0,0.5122061059850144,VisualCogA_Task-2,191,96,0.5416666666666666,0.5555555555555556,0.6005291005291005,0.5408695652173914
raw_qc_pass,cue_locked,VisualCogA_Task-1,15,logistic_spatial_100ms_l2_1,spatial_100ms,1.0,0,0.0,0.5122061059850144,VisualCogB_Task-1,189,98,0.5306122448979592,0.5388795986622074,0.5476588628762542,0.5256734006734007
raw_qc_pass,cue_locked,VisualCogA_Task-1,15,logistic_spatial_100ms_l2_1,spatial_100ms,1.0,0,0.0,0.5122061059850144,VisualCogB_Task-2,194,93,0.44086021505376344,0.4421831637372803,0.4532839962997225,0.4329268292682927
raw_qc_pass,cue_locked,VisualCogA_Task-1,16,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.4864593142036866,VisualCogA_Task-2,191,96,0.5416666666666666,0.5449735449735449,0.6133156966490301,0.5408695652173914
raw_qc_pass,cue_locked,VisualCogA_Task-1,16,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.4864593142036866,VisualCogB_Task-1,189,98,0.5102040816326531,0.5045986622073578,0.5083612040133779,0.5027484143763213
raw_qc_pass,cue_locked,VisualCogA_Task-1,16,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.4864593142036866,VisualCogB_Task-2,194,93,0.40860215053763443,0.40980573543015725,0.40055504162812205,0.4016844075330448
raw_qc_pass,cue_locked,VisualCogA_Task-1,17,logistic_wave64_l2_10,wave64,10.0,0,0.0,0.517081592474747,VisualCogA_Task-2,191,96,0.53125,0.5357142857142857,0.5974426807760141,0.530791788856305
raw_qc_pass,cue_locked,VisualCogA_Task-1,17,logistic_wave64_l2_10,wave64,10.0,0,0.0,0.517081592474747,VisualCogB_Task-1,189,98,0.5306122448979592,0.5301003344481605,0.5121237458193979,0.5298289528577389
raw_qc_pass,cue_locked,VisualCogA_Task-1,17,logistic_wave64_l2_10,wave64,10.0,0,0.0,0.517081592474747,VisualCogB_Task-2,194,93,0.4838709677419355,0.4854301572617946,0.486586493987049,0.47358490566037736
raw_qc_pass,cue_locked,VisualCogA_Task-1,18,logistic_wave64_l2_100,wave64,100.0,0,0.0,0.5420913941188379,VisualCogA_Task-2,191,96,0.5520833333333334,0.5806878306878307,0.5965608465608466,0.5408742075408741
raw_qc_pass,cue_locked,VisualCogA_Task-1,18,logistic_wave64_l2_100,wave64,100.0,0,0.0,0.5420913941188379,VisualCogB_Task-1,189,98,0.5306122448979592,0.5388795986622074,0.5334448160535118,0.5256734006734007
raw_qc_pass,cue_locked,VisualCogA_Task-1,18,logistic_wave64_l2_100,wave64,100.0,0,0.0,0.5420913941188379,VisualCogB_Task-2,194,93,0.5053763440860215,0.5067067530064755,0.4995374653098983,0.49835834896810505
raw_qc_pass,cue_locked,VisualCogA_Task-1,19,logistic_wave64_l2_1,wave64,1.0,0,0.0,0.5066236084583294,VisualCogA_Task-2,191,96,0.5833333333333334,0.582010582010582,0.6014109347442681,0.5804195804195804
raw_qc_pass,cue_locked,VisualCogA_Task-1,19,logistic_wave64_l2_1,wave64,1.0,0,0.0,0.5066236084583294,VisualCogB_Task-1,189,98,0.5204081632653061,0.5167224080267558,0.5121237458193979,0.5163288879554762
raw_qc_pass,cue_locked,VisualCogA_Task-1,19,logistic_wave64_l2_1,wave64,1.0,0,0.0,0.5066236084583294,VisualCogB_Task-2,194,93,0.41935483870967744,0.42113783533765037,0.42506938020351526,0.40384615384615385
raw_qc_pass,cue_locked,VisualCogA_Task-1,20,csp_e1_shrink0.01_l2_0.1,csp,0.1,1,0.01,0.47893515616303156,VisualCogA_Task-2,191,96,0.4791666666666667,0.5026455026455027,0.4656084656084656,0.47089947089947093
raw_qc_pass,cue_locked,VisualCogA_Task-1,20,csp_e1_shrink0.01_l2_0.1,csp,0.1,1,0.01,0.47893515616303156,VisualCogB_Task-1,189,98,0.5102040816326531,0.5058528428093645,0.45944816053511706,0.5050505050505051
raw_qc_pass,cue_locked,VisualCogA_Task-1,20,csp_e1_shrink0.01_l2_0.1,csp,0.1,1,0.01,0.47893515616303156,VisualCogB_Task-2,194,93,0.43010752688172044,0.4283071230342276,0.46808510638297873,0.41272488978911
raw_qc_pass,cue_locked,VisualCogA_Task-1,21,csp_e1_shrink0.01_l2_1,csp,1.0,1,0.01,0.4825583445688287,VisualCogA_Task-2,191,96,0.4791666666666667,0.5026455026455027,0.4656084656084656,0.47089947089947093
raw_qc_pass,cue_locked,VisualCogA_Task-1,21,csp_e1_shrink0.01_l2_1,csp,1.0,1,0.01,0.4825583445688287,VisualCogB_Task-1,189,98,0.5102040816326531,0.5058528428093645,0.45944816053511706,0.5050505050505051
raw_qc_pass,cue_locked,VisualCogA_Task-1,21,csp_e1_shrink0.01_l2_1,csp,1.0,1,0.01,0.4825583445688287,VisualCogB_Task-2,194,93,0.44086021505376344,0.4391766882516188,0.4611470860314524,0.42592592592592593
raw_qc_pass,cue_locked,VisualCogA_Task-1,22,csp_e1_shrink0.01_l2_10,csp,10.0,1,0.01,0.4898047213804229,VisualCogA_Task-2,191,96,0.4791666666666667,0.5026455026455027,0.4656084656084656,0.47089947089947093
raw_qc_pass,cue_locked,VisualCogA_Task-1,22,csp_e1_shrink0.01_l2_10,csp,10.0,1,0.01,0.4898047213804229,VisualCogB_Task-1,189,98,0.5102040816326531,0.5058528428093645,0.45944816053511706,0.5050505050505051
raw_qc_pass,cue_locked,VisualCogA_Task-1,22,csp_e1_shrink0.01_l2_10,csp,10.0,1,0.01,0.4898047213804229,VisualCogB_Task-2,194,93,0.46236559139784944,0.46091581868640147,0.406567992599445,0.4516509433962264
raw_qc_pass,cue_locked,VisualCogA_Task-1,23,csp_e1_shrink0.1_l2_0.1,csp,0.1,1,0.1,0.48441737822712233,VisualCogA_Task-2,191,96,0.4791666666666667,0.5026455026455027,0.46913580246913583,0.47089947089947093
raw_qc_pass,cue_locked,VisualCogA_Task-1,23,csp_e1_shrink0.1_l2_0.1,csp,0.1,1,0.1,0.48441737822712233,VisualCogB_Task-1,189,98,0.47959183673469385,0.47951505016722407,0.4531772575250836,0.4791036998436686
raw_qc_pass,cue_locked,VisualCogA_Task-1,23,csp_e1_shrink0.1_l2_0.1,csp,0.1,1,0.1,0.48441737822712233,VisualCogB_Task-2,194,93,0.4731182795698925,0.4710915818686401,0.4190564292321924,0.4526126126126126
raw_qc_pass,cue_locked,VisualCogA_Task-1,24,csp_e1_shrink0.1_l2_1,csp,1.0,1,0.1,0.48071710070630824,VisualCogA_Task-2,191,96,0.4791666666666667,0.5026455026455027,0.46913580246913583,0.47089947089947093
raw_qc_pass,cue_locked,VisualCogA_Task-1,24,csp_e1_shrink0.1_l2_1,csp,1.0,1,0.1,0.48071710070630824,VisualCogB_Task-1,189,98,0.47959183673469385,0.47951505016722407,0.4531772575250836,0.4791036998436686
raw_qc_pass,cue_locked,VisualCogA_Task-1,24,csp_e1_shrink0.1_l2_1,csp,1.0,1,0.1,0.48071710070630824,VisualCogB_Task-2,194,93,0.46236559139784944,0.459990749306198,0.41119333950046255,0.4334795321637427
