条件,OFF峰值,OFF峰值时间(ms),ON峰值,ON峰值时间(ms),总响应峰值,总响应峰值时间(ms)
相向,0.15524397790431976,26.0,0.0,0.0,0.15524397790431976,26.0
背向,0.1499153971672058,28.0,0.0,0.0,0.1499153971672058,28.0
