方向(°),相向平均响应,背向平均响应,相向-背向,绝对差
0,0.04438989609479904,0.04438989609479904,0.0,0.0
45,0.03764748573303223,0.03764748200774193,3.725290298461914e-09,3.725290298461914e-09
90,0.035912416875362396,0.0359124131500721,3.725290298461914e-09,3.725290298461914e-09
135,0.03764748573303223,0.03764748573303223,0.0,0.0
