记录,条件,时间_ms,电极,实测,共享模型,逐电极增益,逐电极曲线拟合
VisualCogA_Task-1,left,0.0,F3,-6.148591342108878,-0.6037753779858193,-0.521983159909719,-0.5275857824268143
VisualCogA_Task-1,left,0.0,Fz,0.26018332207544037,-0.6544802480836047,-0.5702794199849717,-0.543782576534827
VisualCogA_Task-1,left,0.0,F4,-7.451343258565882,-0.6051759125867218,-0.7978821894700491,-1.0386147582949974
VisualCogA_Task-1,left,7.8125,F3,-5.846739873077992,-0.8768363192164195,-0.7580535112045992,-0.7647105801595667
VisualCogA_Task-1,left,7.8125,Fz,0.9068273814830486,-1.0407188957874602,-0.9068257931616603,-0.877467994388605
VisualCogA_Task-1,left,7.8125,F4,-7.7481843493645775,-0.9000160009245501,-1.1866016248678484,-1.4498885350415454
VisualCogA_Task-1,left,15.625,F3,-5.573495219867095,-3.039971578127183,-2.628156903894507,-2.6355314638181415
VisualCogA_Task-1,left,15.625,Fz,1.683121560806766,-3.948815463001214,-3.4407739993539512,-3.4073683496530034
VisualCogA_Task-1,left,15.625,F4,-7.717394672940683,-3.07607666316642,-4.055529034938665,-4.370807750837676
VisualCogA_Task-1,left,23.4375,F3,-5.487408009697874,-7.2967960098178075,-6.308325249635679,-6.316300839309133
VisualCogA_Task-1,left,23.4375,Fz,2.3703419308433022,-9.632219009764842,-8.392964999301338,-8.353960225865167
VisualCogA_Task-1,left,23.4375,F4,-7.524903977165935,-7.303241666728015,-9.628639764905278,-10.027764503927733
VisualCogA_Task-1,left,31.25,F3,-5.794318785995095,-11.86131593473689,-10.254506740799112,-10.26561806154687
VisualCogA_Task-1,left,31.25,Fz,2.5525859865874625,-15.756190432417103,-13.729041542230092,-13.68168570293671
VisualCogA_Task-1,left,31.25,F4,-7.7941172304575606,-11.791848597868855,-15.546436371634353,-16.032976782851016
VisualCogA_Task-1,left,39.0625,F3,-6.55131780141008,-13.7066881410252,-11.849893265576451,-11.87147779313189
VisualCogA_Task-1,left,39.0625,Fz,2.0460572067843823,-18.423241656494067,-16.052956822584758,-15.992116965201635
VisualCogA_Task-1,left,39.0625,F4,-8.935584117048602,-13.576619598355839,-17.89948591949394,-18.430774206561065
VisualCogA_Task-1,left,46.875,F3,-7.588915821740917,-10.813320965992428,-9.348479658738823,-9.391002550185265
VisualCogA_Task-1,left,46.875,Fz,1.1367994153787733,-15.075693428029663,-13.136096303366365,-13.05511343621063
VisualCogA_Task-1,left,46.875,F4,-10.687110623851458,-10.738224810093447,-14.157337093742596,-14.661178179254971
VisualCogA_Task-1,left,54.6875,F3,-8.529342964741769,-3.8883018472536435,-3.3615668448446967,-3.432755775840028
VisualCogA_Task-1,left,54.6875,Fz,0.4146560037410398,-6.632873163939557,-5.779508982570086,-5.67384323135682
VisualCogA_Task-1,left,54.6875,F4,-12.376473761659941,-4.038941316264767,-5.324978885199975,-5.7419977870177
VisualCogA_Task-1,left,62.5,F3,-9.063021688117919,4.108591967630934,3.552017852384524,3.452317544288808
VisualCogA_Task-1,left,62.5,Fz,0.291877359045635,3.1805925878902706,2.771379916340763,2.9008504562476944
VisualCogA_Task-1,left,62.5,F4,-13.4619114274578,3.610631940975864,4.760244729352492,4.443060452891741
VisualCogA_Task-1,left,70.3125,F3,-9.31625645657395,10.100406675961949,8.732143988845975,8.611537255957225
VisualCogA_Task-1,left,70.3125,Fz,0.6585944165675969,10.538572762497509,9.182699996653678,9.330208886658834
VisualCogA_Task-1,left,70.3125,F4,-13.915737427793628,9.252768616254176,12.198856757184574,11.947600743184678
VisualCogA_Task-1,left,78.125,F3,-9.679108564759614,12.636035469161023,10.924280704351267,10.792739825827748
VisualCogA_Task-1,left,78.125,Fz,1.0589028268095206,13.661381416696615,11.903735405786332,12.062338454951675
VisualCogA_Task-1,left,78.125,F4,-14.02960534641473,11.539053280308462,15.213101590348217,14.972789245048844
VisualCogA_Task-1,left,85.9375,F3,-10.343973431907312,12.070866937791543,10.4356734285739,10.300562636765964
VisualCogA_Task-1,left,85.9375,Fz,1.1771023309018058,12.999130121067445,11.326687480960366,11.491697958499614
VisualCogA_Task-1,left,85.9375,F4,-14.16508916485676,10.855893022546004,14.312419585671256,14.034681373438294
VisualCogA_Task-1,left,93.75,F3,-11.156042311818629,9.621359105483247,8.317991201743565,8.182472141504626
VisualCogA_Task-1,left,93.75,Fz,1.0036142345373122,10.044658713090708,8.752330907352986,8.922168719554794
VisualCogA_Task-1,left,93.75,F4,-14.607437184699526,8.389868242535242,11.061202644781536,10.7173736176717
VisualCogA_Task-1,left,101.5625,F3,-11.949317117874445,6.431129534863837,5.559930034921539,5.424284327901222
VisualCogA_Task-1,left,101.5625,Fz,0.6562338834062365,6.186343527521284,5.3904168460206545,5.565346247926161
VisualCogA_Task-1,left,101.5625,F4,-15.543204290993401,5.234411201505562,6.901035631831968,6.480672934031746
VisualCogA_Task-1,left,109.375,F3,-12.745718302506045,3.190859527853144,2.7586072292776347,2.622291922717683
VisualCogA_Task-1,left,109.375,Fz,0.19836888384031645,2.2560587939446997,1.965792608428746,2.1462722523429014
VisualCogA_Task-1,left,109.375,F4,-16.847567376640537,2.0416101633428383,2.6916341883977455,2.195452248301727
VisualCogA_Task-1,left,117.1875,F3,-13.556113028381336,0.23826132232225206,0.20598642004452766,0.06883890942531917
VisualCogA_Task-1,left,117.1875,Fz,-0.25583057364073736,-1.3408324829133846,-1.1683317846298025,-0.9825217897564337
VisualCogA_Task-1,left,117.1875,F4,-18.11949941971082,-0.8719894282572707,-1.1496671337926363,-1.715570824022772
VisualCogA_Task-1,left,125.0,F3,-14.012820670500371,-2.264656649486323,-1.957870646239021,-2.095390902618747
VisualCogA_Task-1,left,125.0,Fz,-0.39503424526221553,-4.406736037237636,-3.8397840090198296,-3.649604340597211
VisualCogA_Task-1,left,125.0,F4,-18.81925511801289,-3.3536323158831447,-4.421475079329321,-5.048418068871105
VisualCogA_Task-1,left,132.8125,F3,-13.679070510437272,-4.222847112471527,-3.6507923910829914,-3.7878225013328373
VisualCogA_Task-1,left,132.8125,Fz,0.12337077083956208,-6.823957833761181,-5.946012262997324,-5.752885021191379
VisualCogA_Task-1,left,132.8125,F4,-18.71834688932697,-5.313568387699691,-7.005462927774059,-7.6834748399285715
VisualCogA_Task-1,left,140.625,F3,-12.600751615190495,-5.614233543514775,-4.85369292944811,-4.989162181715765
VisualCogA_Task-1,left,140.625,Fz,1.2661565222014688,-8.563299150718851,-7.461574483493812,-7.267128237569243
VisualCogA_Task-1,left,140.625,F4,-18.03347164251139,-6.7320327349274525,-8.875572408243155,-9.594497286673635
