留出记录,条件,电极,试次数,共享模型_NRMSE,逐电极增益_NRMSE,逐电极曲线拟合_NRMSE,共享模型_相关,逐电极增益_相关,逐电极曲线拟合_相关
VisualCogA_Task-1,left,F3,29,2.5419121640030347,2.3237874096828772,2.3233870398032774,-0.8529267392391273,-0.852926730904282,-0.8529304435786592
VisualCogA_Task-1,left,Fz,29,6.040857378939172,5.1824666847181,5.180880306826188,0.5295009746512513,0.5295009018535463,0.5276449141902917
VisualCogA_Task-1,left,F4,29,2.200026222196648,2.616915290841626,2.6051962926216246,-0.6970697409486426,-0.6970695467918891,-0.6840381328264898
VisualCogA_Task-1,right,F3,25,5.362530949332794,4.758194622145757,4.75738060306766,-0.7483422360278408,-0.7483422341229369,-0.7480144080201379
VisualCogA_Task-1,right,Fz,25,11.057274350467004,9.592161094277966,9.594690299872642,0.2940398076444308,0.29403982040084986,0.29226840805190135
VisualCogA_Task-1,right,F4,25,4.660343693298273,6.31841184038398,6.3338370407477,0.1322796274467599,0.1322796828905228,0.14812876618490345
VisualCogA_Task-2,left,F3,45,0.765714565777008,0.8938878396216182,0.8855573743277743,0.9673902743242412,0.9673902637117169,0.9631524237441222
VisualCogA_Task-2,left,Fz,45,0.7305706949073116,0.7051584602031674,0.6837058677582019,0.9704522761968856,0.9704521556738346,0.9791828356987928
VisualCogA_Task-2,left,F4,45,0.8369973254761458,0.7729460277691538,0.7900366610479935,0.9675570958700955,0.9675570767403837,0.9573331835016994
VisualCogA_Task-2,right,F3,35,0.8179875844932467,0.917190229022698,0.9163106730531216,0.9344368036533639,0.9344369781056049,0.9308970587430871
VisualCogA_Task-2,right,Fz,35,0.6955802259128409,0.6664792399668565,0.6510311306243431,0.9671896557469501,0.967189657041595,0.9701350977347626
VisualCogA_Task-2,right,F4,35,0.8009023393789029,0.721169650473983,0.729005986555454,0.9654719847622788,0.9654719979625082,0.9592832989278397
VisualCogB_Task-1,left,F3,41,0.7595234149576056,0.4664166504979177,0.4933512594845555,0.9421218142464403,0.9421218201266828,0.9315667390905221
VisualCogB_Task-1,left,Fz,41,2.7824306332034054,2.6590632997789223,2.6562455078977565,0.7919686127778254,0.791968634030976,0.7948495563471011
VisualCogB_Task-1,left,F4,41,0.3625609560369478,0.5165553680559786,0.5653472369864142,0.9443716876526765,0.9443716512544821,0.9379252480895977
VisualCogB_Task-1,right,F3,42,1.883550388720202,1.2968847464789521,1.3268373610656903,0.8728168028929748,0.872816799495085,0.859575741105209
VisualCogB_Task-1,right,Fz,42,1.856790065638506,1.7645611119646876,1.7662047126846443,0.8302866486483192,0.830286646036984,0.8280264025823408
VisualCogB_Task-1,right,F4,42,1.8358310098139687,2.4720612444213406,2.4563713118782027,0.7896035841366216,0.7896034742276294,0.8084679113134113
VisualCogB_Task-2,left,F3,37,1.6619352203876345,1.617117883389382,1.6181675623105911,0.11672548450044985,0.11672561370234473,0.11561342525362588
VisualCogB_Task-2,left,Fz,37,0.37160504568455155,0.445769884274582,0.44004213877962817,0.9436010553090698,0.9436010571666203,0.9453737912628063
VisualCogB_Task-2,left,F4,37,0.6000752783389659,0.621360363272855,0.6171771404257023,0.8749094874134279,0.8749095463358236,0.8746151210897946
VisualCogB_Task-2,right,F3,43,0.5421073959401604,0.567412806005142,0.5665586559041598,0.964376452386213,0.964376453939162,0.9651506755703438
VisualCogB_Task-2,right,Fz,43,0.5255515841338465,0.5912062265111853,0.593016193949081,0.9618980104584459,0.9618980237278034,0.9573980917241922
VisualCogB_Task-2,right,F4,43,0.696433675149741,0.6197780896891824,0.6188227887408604,0.9624879279417087,0.9624879404922053,0.963834605427325
