sensor,source_1,source_2,source_3,source_4,source_5
F3,0.66071397239239,0.9612760820163295,-2.687909854011963,-4.365477083715486,-0.32978909442390325
Fz,1.1010250637923047,1.1010250637923047,-4.299208067856741,-4.299208067856741,-0.4890753516978297
F4,0.9612760820163295,0.66071397239239,-4.365477083715486,-2.687909854011963,-0.32978909442390325
