sample,stage,outer_held_out_record,candidate_order,candidate,model,feature_set,scaler,selector_k,parameters,inner_mean_balanced_accuracy,inner_held_out_record,n_inner_train,n_inner_validation,accuracy,balanced_accuracy,auc,macro_f1
raw_qc_pass,cue_locked,VisualCogA_Task-1,7,logistic_gamma_extended_16_l2_100,logistic,gamma_extended_16,standard,,"{""l2"": 100.0}",0.46995612540632586,VisualCogB_Task-2,194,93,0.4731182795698925,0.4764107308048104,0.4805735430157262,0.4205975842339479
raw_qc_pass,cue_locked,VisualCogA_Task-1,8,logistic_erp_shape_10_l2_0.1,logistic,erp_shape_10,standard,,"{""l2"": 0.1}",0.48834120476889514,VisualCogA_Task-2,191,96,0.53125,0.5462962962962963,0.5427689594356261,0.52997497551953
raw_qc_pass,cue_locked,VisualCogA_Task-1,8,logistic_erp_shape_10_l2_0.1,logistic,erp_shape_10,standard,,"{""l2"": 0.1}",0.48834120476889514,VisualCogB_Task-1,189,98,0.5204081632653061,0.5204849498327759,0.5656354515050167,0.5199583116206358
raw_qc_pass,cue_locked,VisualCogA_Task-1,8,logistic_erp_shape_10_l2_0.1,logistic,erp_shape_10,standard,,"{""l2"": 0.1}",0.48834120476889514,VisualCogB_Task-2,194,93,0.3978494623655914,0.3982423681776133,0.4162812210915819,0.39722222222222225
raw_qc_pass,cue_locked,VisualCogA_Task-1,9,logistic_erp_shape_10_l2_1,logistic,erp_shape_10,standard,,"{""l2"": 1.0}",0.4906187849450261,VisualCogA_Task-2,191,96,0.53125,0.541005291005291,0.544973544973545,0.5311991318502441
raw_qc_pass,cue_locked,VisualCogA_Task-1,9,logistic_erp_shape_10_l2_1,logistic,erp_shape_10,standard,,"{""l2"": 1.0}",0.4906187849450261,VisualCogB_Task-1,189,98,0.5102040816326531,0.5108695652173914,0.5568561872909699,0.51
raw_qc_pass,cue_locked,VisualCogA_Task-1,9,logistic_erp_shape_10_l2_1,logistic,erp_shape_10,standard,,"{""l2"": 1.0}",0.4906187849450261,VisualCogB_Task-2,194,93,0.41935483870967744,0.419981498612396,0.42599444958371874,0.4176716141001855
raw_qc_pass,cue_locked,VisualCogA_Task-1,10,logistic_erp_shape_10_l2_10,logistic,erp_shape_10,standard,,"{""l2"": 10.0}",0.46396132504673976,VisualCogA_Task-2,191,96,0.4791666666666667,0.4947089947089947,0.5462962962962963,0.4771241830065359
raw_qc_pass,cue_locked,VisualCogA_Task-1,10,logistic_erp_shape_10_l2_10,logistic,erp_shape_10,standard,,"{""l2"": 10.0}",0.46396132504673976,VisualCogB_Task-1,189,98,0.4489795918367347,0.45568561872909696,0.5376254180602007,0.44528301886792454
raw_qc_pass,cue_locked,VisualCogA_Task-1,10,logistic_erp_shape_10_l2_10,logistic,erp_shape_10,standard,,"{""l2"": 10.0}",0.46396132504673976,VisualCogB_Task-2,194,93,0.44086021505376344,0.44148936170212766,0.41026827012025907,0.439239332096475
