dataset,condition,channel,window,window_start_ms,window_end_ms,n_clipped_only,n_sqi_retained,valid_erp_rms,clean_erp_rms,clean_vs_clipped_only_rmse,clean_vs_clipped_only_nrmse,clean_vs_equal_n_random_mean_rmse,clean_outside_stratified_random_pointwise_95_pct,random_band_mean_width,bootstrap_repeats,bootstrap_blocks,interpretation
VisualCogA_Task-1,left,F3,cue_onset_0_200ms,0.0,200.0,42,29,5.20964786393853,10.785270885643726,5.640557980194289,1.082713866178661,4.670446795813758,0.038461538461538464,11.136725228652354,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,Fz,cue_onset_0_200ms,0.0,200.0,42,29,0.7413920994046599,1.7863026755072724,1.2982989245900252,1.7511636900805432,1.2312342946678718,0.0,5.065744228202562,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,F4,cue_onset_0_200ms,0.0,200.0,42,29,4.616248906484931,15.074940959384282,10.516001715012356,2.2780404454013343,8.449861110030886,0.4230769230769231,16.573560644922633,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,F3,cue_offset_200_800ms,200.0,800.0,42,29,10.042313584907383,23.72954936902591,15.368303837710785,1.5303549035560735,13.71261395347073,0.45454545454545453,25.704757362456583,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,Fz,cue_offset_200_800ms,200.0,800.0,42,29,8.734781481385651,7.016444567324341,4.368561507124584,0.5001340349995307,3.5969258559795225,0.2597402597402597,9.153231445724119,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,F4,cue_offset_200_800ms,200.0,800.0,42,29,8.184611062631722,27.14386080558044,22.687903758518377,2.7720197801583977,18.85943393520498,0.37662337662337664,36.83584140755914,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,F3,cue_full_0_800ms,0.0,800.0,42,29,9.068751419138268,21.22062110553608,13.586629632661664,1.4981808415201543,12.086217407471437,0.34951456310679613,22.027390027709885,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,Fz,cue_full_0_800ms,0.0,800.0,42,29,7.56147273243989,6.132604947605277,3.8330682593615073,0.506920859863324,3.1709096537640447,0.1941747572815534,8.121438555864309,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,F4,cue_full_0_800ms,0.0,800.0,42,29,7.4469767685568575,24.66107478513415,20.315544485968285,2.7280257636556606,16.849888103021886,0.3883495145631068,31.72109092378681,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,F3,target_candidate_250_500ms,2450.0,2700.0,42,29,3.5578378956350396,3.043665128910954,1.8778168372428334,0.5277971881593164,2.4660053459178584,0.0,17.217300811596214,1000,5,descriptive_pointwise_interval_not_familywise_test
