dataset,channel,window,window_start_ms,window_end_ms,n_left_clipped_only,n_right_clipped_only,n_left_sqi_retained,n_right_sqi_retained,clipped_only_lr_difference_rms,clean_lr_difference_rms,clean_vs_clipped_only_difference_rmse,clean_vs_clipped_only_difference_nrmse,clean_vs_clipped_only_difference_correlation,clean_vs_equal_n_random_mean_rmse,clean_difference_outside_stratified_random_pointwise_95_pct,random_band_mean_width,bootstrap_repeats,interpretation
VisualCogA_Task-1,F3,cue_onset_0_200ms,0.0,200.0,42,41,29,25,6.063515771884543,5.869497194916017,1.6802294588788504,0.27710482203572046,0.7751981109828484,2.204074655327839,0.0,24.777081293096906,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,Fz,cue_onset_0_200ms,0.0,200.0,42,41,29,25,1.929234741015357,3.642794760157134,2.650382532653699,1.373799919888858,0.6582036282312151,2.6623451519549324,0.15384615384615385,7.6443763211942635,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,F4,cue_onset_0_200ms,0.0,200.0,42,41,29,25,9.009564594645834,19.228892704464172,10.449411386743511,1.1598131382456975,0.7503585512907808,10.392834639059837,0.0,26.05772385006913,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,F3,cue_offset_200_800ms,200.0,800.0,42,41,29,25,13.928499630759024,16.55054011514721,4.512561887710431,0.3239804722215096,0.6321983895878379,7.676342924601561,0.0,50.65857955975966,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,Fz,cue_offset_200_800ms,200.0,800.0,42,41,29,25,3.2873754174578793,5.1168718783399605,2.776924332417447,0.8447238236528631,0.739950504486842,2.86430897701332,0.05194805194805195,13.085627032119731,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,F4,cue_offset_200_800ms,200.0,800.0,42,41,29,25,12.12491513703192,33.64578966584752,21.829750874282865,1.8004044257275198,0.6634114749069947,23.474259224110654,0.0,60.96407801516644,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,F3,cue_full_0_800ms,0.0,800.0,42,41,29,25,12.422247761301456,14.610674062016548,3.9919457573589257,0.3213545434019501,0.8167856596823521,6.728887951691323,0.0,44.12538582254382,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,Fz,cue_full_0_800ms,0.0,800.0,42,41,29,25,3.003068128917952,4.787789776644314,2.745532099378885,0.9142423619833556,0.7302940217430548,2.814695486000884,0.07766990291262135,11.712107435187088,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,F4,cue_full_0_800ms,0.0,800.0,42,41,29,25,11.418994257138491,30.65316842822739,19.591055256750685,1.7156550581942447,0.7112013849457889,20.95729162887005,0.0,52.152765313297216,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,F3,target_candidate_250_500ms,2450.0,2700.0,42,41,29,25,12.233329397609747,17.205580087385663,5.066334161563396,0.4141418903142835,0.9555641873948769,0.6941516526812487,0.0,36.21819449053146,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,Fz,target_candidate_250_500ms,2450.0,2700.0,42,41,29,25,2.0400065001247834,1.6793280680331863,1.4007246553604158,0.6866275451939668,0.794444169054348,1.912372525397813,0.0,8.493572296760975,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,F4,target_candidate_250_500ms,2450.0,2700.0,42,41,29,25,13.753700603965356,9.933351171539943,4.279688264854438,0.3111663099326557,0.9232710725695717,7.1312812966812755,0.0,38.495179307763465,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,F3,cue_onset_0_200ms,0.0,200.0,48,37,45,35,12.273656695090008,11.75014567647389,0.9911412065620331,0.08075353834513982,0.992854976977853,0.975191755341927,0.0,17.59488406777382,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,Fz,cue_onset_0_200ms,0.0,200.0,48,37,45,35,5.265896399427235,5.372897808885204,0.2966874841109243,0.056341306703868055,0.9963626681787832,0.5903034047558028,0.0,7.9586450519470056,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,F4,cue_onset_0_200ms,0.0,200.0,48,37,45,35,2.7848339207092354,3.3396174531214786,1.699971825640875,0.6104392125502155,0.9939777992849076,1.627558193083649,0.0,13.383058454210937,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,F3,cue_offset_200_800ms,200.0,800.0,48,37,45,35,22.97951238351404,15.714299374209846,8.835960997060933,0.38451472988608876,0.8534065954695472,7.8356103643161905,0.0,38.492854369151125,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,Fz,cue_offset_200_800ms,200.0,800.0,48,37,45,35,4.3304885409556935,6.017398475449213,3.316135511558443,0.7657647584553143,0.9751694004147553,2.4815923286725945,0.0,17.73215993503471,1000,descriptive_pointwise_interval_not_familywise_test
