preprocessing,target_stimulus_candidate,target_onset_candidate_s,target_duration_s_assumption,match_evidence_scenario,heldout_record,cue_side,model,evaluation_window,window_start_s,window_stop_s,rmse_raw_units,nrmse_by_heldout_sd,correlation,n_train_records,n_train_record_cue_means,n_test_trials_in_cue_group,fit_parameters_train_only,response_channel_used
none,dots,,0.2,,VisualCogA_Task-2,right,Q2_plus_memory_control,late_stage,0.8,2.8,199.8173024185028,4.619206433278228,-0.541267726548744,3,6,41,True,False
none,dots,,0.2,,VisualCogB_Task-1,left,Training_mean_template,cue_stage,0.0,0.8,30.33075629867405,1.1671982803593115,0.6762753600671128,3,6,43,True,False
none,dots,,0.2,,VisualCogB_Task-1,left,Training_mean_template,late_stage,0.8,2.8,47.76044260519691,1.307891646133743,0.25417606538143633,3,6,43,True,False
none,dots,,0.2,,VisualCogB_Task-1,right,Training_mean_template,cue_stage,0.0,0.8,86.7423138020746,2.5508449339678005,0.029317347683828418,3,6,45,True,False
none,dots,,0.2,,VisualCogB_Task-1,right,Training_mean_template,late_stage,0.8,2.8,111.82341068398667,1.5738089517534397,0.2328057661890107,3,6,45,True,False
none,dots,,0.2,,VisualCogB_Task-1,left,Q2_visual_only,cue_stage,0.0,0.8,53.12052372490571,2.0442017117194817,0.6397652460854809,3,6,43,True,False
none,dots,,0.2,,VisualCogB_Task-1,left,Q2_visual_only,late_stage,0.8,2.8,55.432365935355676,1.517982756809535,0.3842719525532382,3,6,43,True,False
none,dots,,0.2,,VisualCogB_Task-1,right,Q2_visual_only,cue_stage,0.0,0.8,75.30165913157758,2.214407793564769,0.22676599236358136,3,6,45,True,False
none,dots,,0.2,,VisualCogB_Task-1,right,Q2_visual_only,late_stage,0.8,2.8,78.7733474810455,1.108660509163016,0.597285244388699,3,6,45,True,False
none,dots,,0.2,,VisualCogB_Task-1,left,Q2_plus_memory,cue_stage,0.0,0.8,51.0116226662569,1.9630462777809476,0.61641815716839,3,6,43,True,False
none,dots,,0.2,,VisualCogB_Task-1,left,Q2_plus_memory,late_stage,0.8,2.8,55.54968209890973,1.5211953909875127,0.3932958065172304,3,6,43,True,False
none,dots,,0.2,,VisualCogB_Task-1,right,Q2_plus_memory,cue_stage,0.0,0.8,74.17292499563393,2.181214930401837,0.1620219171120132,3,6,45,True,False
none,dots,,0.2,,VisualCogB_Task-1,right,Q2_plus_memory,late_stage,0.8,2.8,78.47817574553262,1.1045062456075285,0.6189659032937741,3,6,45,True,False
none,dots,,0.2,,VisualCogB_Task-1,left,Q2_plus_memory_control,cue_stage,0.0,0.8,51.01162266625691,1.963046277780948,0.6164181571683904,3,6,43,True,False
