record,window,signal,baseline_mode,cross_block_corr,block1_predicts_block2_nrmse,block1_rms,block2_rms
VisualCogB_Task-1,whole_cue_0_2200,common,per_trial_-200_0_corrected,0.6332221440113952,0.7294113262317146,14.14886979935244,27.634536932194127
VisualCogB_Task-1,whole_cue_0_2200,left_right_difference,per_trial_-200_0_corrected,-0.68825787879948,1.21185567450643,14.043915539249546,47.63840810590584
VisualCogB_Task-2,onset_0_200,common,uncorrected,0.5875770566709029,0.8785335513683089,21.366834311173207,15.930903702948587
VisualCogB_Task-2,onset_0_200,left_right_difference,uncorrected,0.32111053850083854,0.7318806087987784,18.55907023541953,54.68648991093787
VisualCogB_Task-2,onset_0_200,common,per_trial_-200_0_corrected,-0.21690068911204527,1.7847200256402813,9.965738025597929,11.645561457156948
VisualCogB_Task-2,onset_0_200,left_right_difference,per_trial_-200_0_corrected,0.574284968684851,0.6734408327387184,6.095828013369879,8.65133814195224
VisualCogB_Task-2,offset_200_800,common,uncorrected,0.8567970868638043,0.7686467245005333,68.17244743373607,44.14421088349267
VisualCogB_Task-2,offset_200_800,left_right_difference,uncorrected,0.7820742571692068,1.0837508096764117,27.699873189643075,33.06433249851567
VisualCogB_Task-2,offset_200_800,common,per_trial_-200_0_corrected,0.9400420642499369,1.3564993118362418,65.50547158837396,36.943807181225544
VisualCogB_Task-2,offset_200_800,left_right_difference,per_trial_-200_0_corrected,0.8996539554425993,0.30839270176477623,47.124888361650136,57.56017810972295
VisualCogB_Task-2,whole_0_800,common,uncorrected,0.822403693895077,0.7735905255560285,59.913063325982904,38.998308441176235
VisualCogB_Task-2,whole_0_800,left_right_difference,uncorrected,0.8158464655112967,0.9315337325410437,25.701083302638107,39.65092502297993
VisualCogB_Task-2,whole_0_800,common,per_trial_-200_0_corrected,0.8957678257074764,1.3725004265343805,56.858422240884735,32.47391082791535
VisualCogB_Task-2,whole_0_800,left_right_difference,per_trial_-200_0_corrected,0.9214919025361065,0.3127608140897557,40.86020211481316,49.95730147249142
VisualCogB_Task-2,whole_cue_0_2200,common,uncorrected,0.7719597169139989,1.0384573143514262,50.12756069809872,32.58077178896666
VisualCogB_Task-2,whole_cue_0_2200,left_right_difference,uncorrected,0.2676589898417799,1.0542329023314971,27.13946700519026,36.38169966485602
VisualCogB_Task-2,whole_cue_0_2200,common,per_trial_-200_0_corrected,0.7975310725082866,1.1023178612839954,52.25426756138153,42.27625479985726
VisualCogB_Task-2,whole_cue_0_2200,left_right_difference,per_trial_-200_0_corrected,0.384084620130892,0.7369659609188572,38.90615068119352,76.82184625023676
