dataset,alpha,sqi_threshold,retained_trial_count,left_retained_trial_count,right_retained_trial_count,condition,condition_retained_trial_count,cue_candidate_p300_peak_amplitude,cue_candidate_p300_latency_relative_to_cue_s,target_candidate_p300_peak_amplitude,target_candidate_p300_latency_relative_to_cue_s,target_candidate_p300_latency_relative_to_target_s
VisualCogB_Task-1,0.6,0.19225758005021223,83,41,42,左条件,41,8.266812936823703,0.3515625,0.41737756281672334,2.65625,0.4562499999999998
VisualCogB_Task-1,0.6,0.19225758005021223,83,41,42,右条件,42,11.171372554340389,0.328125,7.424434523081043,2.609375,0.4093749999999998
VisualCogB_Task-1,0.7,0.22430051005858095,81,39,42,左条件,39,22.42936048360872,0.359375,11.553006993336917,2.65625,0.4562499999999998
VisualCogB_Task-1,0.7,0.22430051005858095,81,39,42,右条件,42,11.171372554340389,0.328125,7.424434523081043,2.609375,0.4093749999999998
VisualCogB_Task-1,0.8,0.2563434400669497,81,39,42,左条件,39,22.42936048360872,0.359375,11.553006993336917,2.65625,0.4562499999999998
VisualCogB_Task-1,0.8,0.2563434400669497,81,39,42,右条件,42,11.171372554340389,0.328125,7.424434523081043,2.609375,0.4093749999999998
VisualCogB_Task-1,1.0,0.3204293000836871,79,38,41,左条件,38,23.260392714060107,0.3515625,12.070869992809685,2.65625,0.4562499999999998
VisualCogB_Task-1,1.0,0.3204293000836871,79,38,41,右条件,41,10.997322226728567,0.328125,6.407401054638492,2.609375,0.4093749999999998
VisualCogB_Task-2,0.6,0.22065145417183976,80,37,43,左条件,37,12.220879104145371,0.5,2.2007296301392807,2.6640625,0.4640624999999998
VisualCogB_Task-2,0.6,0.22065145417183976,80,37,43,右条件,43,22.045409393935223,0.5,16.951086967668804,2.6953125,0.4953124999999998
VisualCogB_Task-2,0.7,0.25742669653381306,78,37,41,左条件,37,12.220879104145371,0.5,2.2007296301392807,2.6640625,0.4640624999999998
VisualCogB_Task-2,0.7,0.25742669653381306,78,37,41,右条件,41,28.80572819299485,0.5,22.21776323578697,2.6953125,0.4953124999999998
VisualCogB_Task-2,0.8,0.29420193889578633,77,36,41,左条件,36,14.471552040628012,0.5,3.775948624474909,2.6640625,0.4640624999999998
VisualCogB_Task-2,0.8,0.29420193889578633,77,36,41,右条件,41,28.80572819299485,0.5,22.21776323578697,2.6953125,0.4953124999999998
VisualCogB_Task-2,1.0,0.3677524236197329,76,36,40,左条件,36,14.471552040628012,0.5,3.775948624474909,2.6640625,0.4640624999999998
VisualCogB_Task-2,1.0,0.3677524236197329,76,36,40,右条件,40,30.295428839551562,0.5,23.377591550259396,2.6953125,0.4953124999999998
