条件,F3晚期峰值,F3晚期峰时间(ms),Fz晚期峰值,Fz晚期峰时间(ms),F4晚期峰值,F4晚期峰时间(ms),F4-F3最大差,F4-F3最大差时间(ms)
相向,0.2665536105632782,304.0,0.2665536105632782,304.0,0.2665536105632782,304.0,2.9802322387695312e-08,219.0
背向,0.2616105079650879,310.0,0.2616104781627655,310.0,0.2616105079650879,310.0,-2.9802322387695312e-08,242.0
